sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
1,10,0.0,0.0,0.02,0.02,1.0,0.0,0.2113018035888672,1.0,0.5,X,googlenet,1
1,10,0.0,0.0,0.02,0.02,1.0,0.0,0.2113018035888672,1.0,0.5,MAX,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,googlenet,1
1,10,0.0,0.0,0.02,0.02,1.0,0.0,0.2113018035888672,1.0,0.5,MS,googlenet,1
1,10,0.0,0.0,0.01,0.01,1.0,0.0,0.2113018035888672,1.0,0.5,DyS,googlenet,1
1,10,0.0,0.0,0.01,0.01,1.0,0.0,0.2113018035888672,1.0,0.5,HDy,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,googlenet,1
1,10,0.0,0.0,0.02,0.02,1.0,0.0,0.2113018035888672,1.0,0.5,MS2,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,googlenet,1
1,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,googlenet,1
1,10,0.0,0.0,0.01,0.01,1.0,0.0,0.2113018035888672,1.0,0.5,SMM,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
2,10,0.0,0.0,0.08,0.08,0.9,0.0,0.3151988983154297,0.9,0.25,X,googlenet,1
2,10,0.0,0.0,0.08,0.08,0.9,0.0,0.3151988983154297,0.9,0.25,MAX,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,googlenet,1
2,10,0.0,0.0,0.02,0.02,0.9,0.0,0.3151988983154297,1.0,0.5,MS,googlenet,1
2,10,0.0,0.0,0.01,0.01,0.9,0.0,0.3151988983154297,1.0,0.5,DyS,googlenet,1
2,10,0.0,0.0,0.01,0.01,0.9,0.0,0.3151988983154297,1.0,0.5,HDy,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,googlenet,1
2,10,0.0,0.0,0.02,0.02,0.9,0.0,0.3151988983154297,1.0,0.5,MS2,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,googlenet,1
2,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,googlenet,1
2,10,0.0,0.0,0.02,0.02,0.9,0.0,0.3151988983154297,1.0,0.5,SMM,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
3,10,0.0,0.0,0.02,0.02,0.9,0.0,0.030199050903320312,1.0,0.5,X,googlenet,1
3,10,0.0,0.0,0.02,0.02,0.9,0.0,0.030199050903320312,1.0,0.5,MAX,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,googlenet,1
3,10,0.0,0.0,0.02,0.02,0.9,0.0,0.030199050903320312,1.0,0.5,MS,googlenet,1
3,10,0.0,0.0,0.01,0.01,0.9,0.0,0.030199050903320312,1.0,0.5,DyS,googlenet,1
3,10,0.0,0.0,0.01,0.01,0.9,0.0,0.030199050903320312,1.0,0.5,HDy,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,googlenet,1
3,10,0.0,0.0,0.02,0.02,0.9,0.0,0.030199050903320312,1.0,0.5,MS2,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,googlenet,1
3,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,googlenet,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
4,10,0.0,0.0,0.02,0.02,0.9,0.0,0.030099868774414062,1.0,0.5,X,googlenet,1
4,10,0.0,0.0,0.02,0.02,0.9,0.0,0.030099868774414062,1.0,0.5,MAX,googlenet,1
