sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,CC,vgg16,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,ACC,vgg16,1
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.9784984588623047,1.0,0.984375,X,vgg16,1
1,10,0.0,0.0,0.06,0.06,0.9,0.0,0.9784984588623047,0.9,0.5,MAX,vgg16,1
1,10,0.0,0.0,0.2,0.2,0.8,0.0,0.0078125,0.8,0.0078125,T50,vgg16,1
1,10,0.0,0.0,0.19,0.19,0.9,0.0,0.013101577758789062,0.8,0.0078125,MS,vgg16,1
1,10,0.0,0.0,0.54,0.54,0.5,0.0,0.0020008087158203125,0.7,0.00390625,DyS,vgg16,1
1,10,0.0,0.0,0.55,0.55,0.5,0.0,0.0020008087158203125,0.7,0.00390625,HDy,vgg16,1
1,10,0.0,0.0,0.05,0.05,0.9,0.0,0.9784984588623047,0.9,0.5,SORD,vgg16,1
1,10,0.0,0.0,0.2,0.2,0.8,0.0,0.0078125,0.8,0.0078125,MS2,vgg16,1
1,10,0.0,0.0,0.08,0.08,0.9,0.0,0.9784984588623047,0.9,0.5,EMQ,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.984375,1.0,0.984375,FM,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.984375,1.0,0.984375,FMM,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.984375,1.0,0.984375,SMM,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
2,10,0.0,0.0,0.11,0.11,0.9,0.0,0.125,0.9,0.125,X,vgg16,1
2,10,0.0,0.0,0.06,0.06,0.9,0.0,0.19859886169433594,0.9,0.125,MAX,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,vgg16,1
2,10,0.0,0.0,0.05,0.05,0.9,0.0,0.19859886169433594,1.0,0.5,MS,vgg16,1
2,10,0.0,0.0,0.22,0.22,0.7,0.0,0.0068988800048828125,0.8,0.03125,DyS,vgg16,1
2,10,0.0,0.0,0.37,0.37,0.6,0.0,0.0031986236572265625,0.7,0.00390625,HDy,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,vgg16,1
2,10,0.0,0.0,0.07,0.07,0.9,0.0,0.19859886169433594,0.9,0.125,MS2,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,vgg16,1
2,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,vgg16,1
2,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
3,10,0.0,0.0,0.11,0.11,0.9,0.0,0.0625,0.9,0.0625,X,vgg16,1
3,10,0.0,0.0,0.06,0.06,0.9,0.0,0.11889839172363281,0.9,0.0625,MAX,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,vgg16,1
3,10,0.0,0.0,0.04,0.04,0.9,0.0,0.11889839172363281,1.0,0.5,MS,vgg16,1
3,10,0.0,0.0,0.34,0.34,0.7,0.0,0.0029010772705078125,0.8,0.00390625,DyS,vgg16,1
3,10,0.0,0.0,0.54,0.54,0.5,0.0,0.0010013580322265625,0.8,0.00390625,HDy,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,vgg16,1
3,10,0.0,0.0,0.07,0.07,0.9,0.0,0.11889839172363281,0.9,0.0625,MS2,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,vgg16,1
3,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,vgg16,1
3,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,vgg16,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
4,10,0.0,0.0,0.11,0.11,0.9,0.0,0.015625,0.9,0.015625,X,vgg16,1
4,10,0.0,0.0,0.06,0.06,1.0,0.0,0.020200729370117188,0.9,0.015625,MAX,vgg16,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,vgg16,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,vgg16,1
4,10,0.0,0.0,0.54,0.54,0.4,0.0,0.0011997222900390625,0.8,0.0078125,DyS,vgg16,1
4,10,0.0,0.0,0.55,0.55,0.4,0.0,0.0011997222900390625,0.8,0.0078125,HDy,vgg16,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,vgg16,1
4,10,0.0,0.0,0.07,0.07,1.0,0.0,0.020200729370117188,0.9,0.015625,MS2,vgg16,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,vgg16,1
4,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,vgg16,1
4,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,vgg16,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,vgg16,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
5,10,0.0,0.0,0.11,0.11,0.9,0.0,0.03125,0.9,0.03125,X,vgg16,1
5,10,0.0,0.0,0.06,0.06,0.9,0.0,0.04569816589355469,0.9,0.03125,MAX,vgg16,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,vgg16,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,vgg16,1
5,10,0.0,0.0,0.54,0.54,0.4,0.0,0.0008983612060546875,0.6,0.00390625,DyS,vgg16,1
5,10,0.0,0.0,0.55,0.55,0.4,0.0,0.0008983612060546875,0.6,0.00390625,HDy,vgg16,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,vgg16,1
5,10,0.0,0.0,0.07,0.07,0.9,0.0,0.04569816589355469,0.9,0.03125,MS2,vgg16,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,vgg16,1
5,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,vgg16,1
5,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,vgg16,1
5,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,vgg16,1
6,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,CC,vgg16,1
6,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,ACC,vgg16,1
6,10,0.0,0.0,0.01,0.01,1.0,0.0,0.7376003265380859,1.0,0.75,X,vgg16,1
6,10,0.0,0.0,0.06,0.06,1.0,0.0,0.7376003265380859,0.9,0.5,MAX,vgg16,1
6,10,0.0,0.0,0.2,0.2,0.8,0.0,0.005859375,0.9,0.5,T50,vgg16,1
6,10,0.0,0.0,0.11,0.11,0.9,0.0,0.5,0.9,0.5,MS,vgg16,1
6,10,0.0,0.0,0.81,0.81,0.2,0.0,0.0002002716064453125,0.7,0.00390625,DyS,vgg16,1
6,10,0.0,0.0,0.68,0.68,0.5,0.0,0.0006008148193359375,0.7,0.00390625,HDy,vgg16,1
6,10,0.0,0.0,0.04,0.04,1.0,0.0,0.7376003265380859,1.0,0.75,SORD,vgg16,1
6,10,0.0,0.0,0.2,0.2,0.8,0.0,0.005859375,0.9,0.5,MS2,vgg16,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,EMQ,vgg16,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,FM,vgg16,1
6,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.75,1.0,0.75,FMM,vgg16,1
6,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,SMM,vgg16,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
7,10,0.0,0.0,0.11,0.11,0.9,0.0,0.0234375,0.9,0.0234375,X,vgg16,1
7,10,0.0,0.0,0.06,0.06,0.9,0.0,0.028299331665039062,0.9,0.0234375,MAX,vgg16,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,vgg16,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,vgg16,1
7,10,0.0,0.0,0.54,0.54,0.5,0.0,0.0015010833740234375,0.8,0.015625,DyS,vgg16,1
7,10,0.0,0.0,0.55,0.55,0.5,0.0,0.0015010833740234375,0.8,0.015625,HDy,vgg16,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,vgg16,1
7,10,0.0,0.0,0.07,0.07,0.9,0.0,0.028299331665039062,0.9,0.0234375,MS2,vgg16,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,vgg16,1
7,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,vgg16,1
7,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,vgg16,1
7,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,vgg16,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
8,10,0.0,0.0,0.11,0.11,0.9,0.0,0.125,0.9,0.125,X,vgg16,1
8,10,0.0,0.0,0.06,0.06,0.9,0.0,0.1784992218017578,0.9,0.125,MAX,vgg16,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,vgg16,1
8,10,0.0,0.0,0.05,0.05,0.9,0.0,0.1784992218017578,1.0,0.5,MS,vgg16,1
8,10,0.0,0.0,0.22,0.22,0.7,0.0,0.0031986236572265625,0.8,0.0078125,DyS,vgg16,1
8,10,0.0,0.0,0.41,0.41,0.6,0.0,0.001953125,0.8,0.0078125,HDy,vgg16,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,vgg16,1
8,10,0.0,0.0,0.07,0.07,0.9,0.0,0.1784992218017578,0.9,0.125,MS2,vgg16,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,vgg16,1
8,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,vgg16,1
8,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,vgg16,1
8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,vgg16,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
9,10,0.0,0.0,0.11,0.11,0.9,0.0,0.0625,0.9,0.0625,X,vgg16,1
9,10,0.0,0.0,0.06,0.06,0.9,0.0,0.09869956970214844,0.9,0.0625,MAX,vgg16,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,vgg16,1
9,10,0.0,0.0,0.03,0.03,0.9,0.0,0.09869956970214844,1.0,0.5,MS,vgg16,1
9,10,0.0,0.0,0.54,0.54,0.4,0.0,0.0011997222900390625,0.7,0.0078125,DyS,vgg16,1
9,10,0.0,0.0,0.55,0.55,0.4,0.0,0.0011997222900390625,0.7,0.0078125,HDy,vgg16,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,vgg16,1
9,10,0.0,0.0,0.07,0.07,0.9,0.0,0.09869956970214844,0.9,0.0625,MS2,vgg16,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,vgg16,1
9,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,vgg16,1
9,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,vgg16,1
9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,vgg16,1
10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
10,10,0.0,0.0,0.11,0.11,0.9,0.0,0.125,0.9,0.125,X,vgg16,1
10,10,0.0,0.0,0.06,0.06,0.9,0.0,0.19859886169433594,0.9,0.125,MAX,vgg16,1
10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,vgg16,1
10,10,0.0,0.0,0.05,0.05,0.9,0.0,0.19859886169433594,1.0,0.5,MS,vgg16,1
10,10,0.0,0.0,0.22,0.22,0.7,0.0,0.0020999908447265625,0.8,0.0625,DyS,vgg16,1
10,10,0.0,0.0,0.37,0.37,0.7,0.0,0.0016002655029296875,0.8,0.0625,HDy,vgg16,1
10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,vgg16,1
10,10,0.0,0.0,0.07,0.07,0.9,0.0,0.19859886169433594,0.9,0.125,MS2,vgg16,1
10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,vgg16,1
10,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,vgg16,1
10,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,vgg16,1
10,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,vgg16,1
1,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
1,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
1,10,0.05,0.0,0.11,0.11,0.9,0.0,0.015625,0.9,0.015625,X,vgg16,1
1,10,0.05,0.0,0.06,0.06,0.9,0.0,0.020399093627929688,0.9,0.015625,MAX,vgg16,1
1,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,vgg16,1
1,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,vgg16,1
1,10,0.05,0.0,0.54,0.54,0.4,0.0,0.0008983612060546875,0.6,0.00390625,DyS,vgg16,1
1,10,0.05,0.0,0.55,0.55,0.4,0.0,0.0008983612060546875,0.6,0.00390625,HDy,vgg16,1
1,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,vgg16,1
1,10,0.05,0.0,0.07,0.07,0.9,0.0,0.020399093627929688,0.9,0.015625,MS2,vgg16,1
1,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,vgg16,1
1,10,0.05,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,vgg16,1
1,10,0.05,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,vgg16,1
1,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,vgg16,1
2,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
2,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
2,10,0.05,0.0,0.11,0.11,0.9,0.0,0.015625,0.9,0.015625,X,vgg16,1
2,10,0.05,0.0,0.06,0.06,1.0,0.0,0.020200729370117188,0.9,0.015625,MAX,vgg16,1
2,10,0.05,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,vgg16,1
