sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.013299942016601562,1.0,0.5,X,googlenet,1
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.013299942016601562,1.0,0.5,MAX,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,googlenet,1
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.013299942016601562,1.0,0.5,DyS,googlenet,1
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.013299942016601562,1.0,0.5,HDy,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,googlenet,1
1,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
2,10,0.0,0.0,0.01,0.01,0.9,0.0,0.0076999664306640625,1.0,0.5,X,googlenet,1
2,10,0.0,0.0,0.01,0.01,0.9,0.0,0.0076999664306640625,1.0,0.5,MAX,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,googlenet,1
2,10,0.0,0.0,0.01,0.01,0.9,0.0,0.0076999664306640625,1.0,0.5,DyS,googlenet,1
2,10,0.0,0.0,0.01,0.01,0.9,0.0,0.0076999664306640625,1.0,0.5,HDy,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,googlenet,1
2,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
3,10,0.0,0.0,0.01,0.01,0.9,0.0,0.0059986114501953125,1.0,0.5,X,googlenet,1
3,10,0.0,0.0,0.01,0.01,0.9,0.0,0.0059986114501953125,1.0,0.5,MAX,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,googlenet,1
3,10,0.0,0.0,0.01,0.01,0.9,0.0,0.0059986114501953125,1.0,0.5,DyS,googlenet,1
3,10,0.0,0.0,0.01,0.01,0.9,0.0,0.0059986114501953125,1.0,0.5,HDy,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,googlenet,1
3,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,googlenet,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
4,10,0.0,0.0,0.01,0.01,1.0,0.0,0.05660057067871094,1.0,0.5,X,googlenet,1
4,10,0.0,0.0,0.01,0.01,1.0,0.0,0.05660057067871094,1.0,0.5,MAX,googlenet,1
