sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
1,10,0.0,0.0,0.19,0.19,0.9,0.0,0.34330177307128906,0.8,0.25,X,googlenet,1
1,10,0.0,0.0,0.19,0.19,0.9,0.0,0.34330177307128906,0.8,0.25,MAX,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,googlenet,1
1,10,0.0,0.0,0.02,0.02,0.9,0.0,0.41969871520996094,1.0,0.5,DyS,googlenet,1
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.41969871520996094,1.0,0.5,HDy,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,googlenet,1
1,10,0.0,0.0,0.09,0.09,0.9,0.0,0.41969871520996094,0.9,0.375,FM,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,googlenet,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.375,0.9,0.375,SMM,googlenet,1
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,CC,googlenet,1
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,ACC,googlenet,1
2,10,0.0,0.0,0.4,0.4,0.6,0.0,0.25,0.6,0.25,X,googlenet,1
2,10,0.0,0.0,0.4,0.4,0.6,0.0,0.25,0.6,0.25,MAX,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.9375,1.0,0.9375,T50,googlenet,1
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,MS,googlenet,1
2,10,0.0,0.0,0.17,0.17,0.8,0.0,0.7195987701416016,0.8,0.5,DyS,googlenet,1
2,10,0.0,0.0,0.03,0.03,1.0,0.0,0.9214000701904297,1.0,0.9375,HDy,googlenet,1
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,SORD,googlenet,1
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,MS2,googlenet,1
2,10,0.0,0.0,0.17,0.17,0.8,0.0,0.7195987701416016,0.8,0.5,EMQ,googlenet,1
2,10,0.0,0.0,0.3,0.3,0.7,0.0,0.375,0.7,0.375,FM,googlenet,1
2,10,0.0,0.0,0.19,0.19,0.8,0.0,0.7195987701416016,0.8,0.5,FMM,googlenet,1
2,10,0.0,0.0,0.27,0.27,0.7,0.0,0.42149925231933594,0.7,0.375,SMM,googlenet,1
3,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,CC,googlenet,1
3,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,ACC,googlenet,1
3,10,0.0,0.0,0.3,0.3,0.7,0.0,0.25,0.7,0.25,X,googlenet,1
3,10,0.0,0.0,0.3,0.3,0.7,0.0,0.25,0.7,0.25,MAX,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,T50,googlenet,1
3,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,MS,googlenet,1
3,10,0.0,0.0,0.02,0.02,0.9,0.0,0.5768985748291016,1.0,0.75,DyS,googlenet,1
3,10,0.0,0.0,0.02,0.02,0.9,0.0,0.5768985748291016,1.0,0.75,HDy,googlenet,1
3,10,0.0,0.0,0.19,0.19,0.9,0.0,0.5403003692626953,0.8,0.5,SORD,googlenet,1
3,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,MS2,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,EMQ,googlenet,1
3,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,FM,googlenet,1
3,10,0.0,0.0,0.19,0.19,0.9,0.0,0.5403003692626953,0.8,0.5,FMM,googlenet,1
3,10,0.0,0.0,0.19,0.19,0.9,0.0,0.5403003692626953,0.8,0.5,SMM,googlenet,1
4,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,CC,googlenet,1
4,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,ACC,googlenet,1
4,10,0.0,0.0,0.3,0.3,0.7,0.0,0.25,0.7,0.25,X,googlenet,1
4,10,0.0,0.0,0.3,0.3,0.7,0.0,0.25,0.7,0.25,MAX,googlenet,1
