sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,CC,resnet50,1
1,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,ACC,resnet50,1
1,10,0.0,0.0,0.4,0.4,0.6,0.0,0.25,0.6,0.25,X,resnet50,1
1,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,MAX,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.9375,1.0,0.9375,T50,resnet50,1
1,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,MS,resnet50,1
1,10,0.0,0.0,0.03,0.03,0.9,0.0,0.8926982879638672,1.0,0.9375,DyS,resnet50,1
1,10,0.0,0.0,0.03,0.03,0.9,0.0,0.8926982879638672,1.0,0.9375,HDy,resnet50,1
1,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,SORD,resnet50,1
1,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,MS2,resnet50,1
1,10,0.0,0.0,0.11,0.11,0.9,0.0,0.75,0.9,0.75,EMQ,resnet50,1
1,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,FM,resnet50,1
1,10,0.0,0.0,0.19,0.19,0.9,0.0,0.6741008758544922,0.8,0.5,FMM,resnet50,1
1,10,0.0,0.0,0.24,0.24,0.7,0.0,0.36839866638183594,0.8,0.5,SMM,resnet50,1
2,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,CC,resnet50,1
2,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,ACC,resnet50,1
2,10,0.0,0.0,0.09,0.09,0.9,0.0,0.9820995330810547,0.9,0.5,X,resnet50,1
2,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,MAX,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.984375,1.0,0.984375,T50,resnet50,1
2,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,MS,resnet50,1
2,10,0.0,0.0,0.14,0.14,0.8,0.0,0.17239952087402344,0.9,0.5,DyS,resnet50,1
2,10,0.0,0.0,0.04,0.04,0.9,0.0,0.9820995330810547,1.0,0.984375,HDy,resnet50,1
2,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,SORD,resnet50,1
2,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,MS2,resnet50,1
2,10,0.0,0.0,0.09,0.09,0.9,0.0,0.9820995330810547,0.9,0.5,EMQ,resnet50,1
