sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.25,X,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.25,MAX,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.25,T50,vgg16,1
1,10,0.0,0.0,0.56,0.56,0.5,0.0,0.3985004425048828,0.4,0.3984375,MS,vgg16,1
1,10,0.0,0.0,0.35,0.35,0.6,0.0,0.40379905700683594,0.7,0.40625,DyS,vgg16,1
1,10,0.0,0.0,0.29,0.29,0.7,0.0,0.40799903869628906,0.7,0.40625,HDy,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.25,SORD,vgg16,1
1,10,0.0,0.0,,,0.0,0.0,1.9073486328125e-06,1.0,0.5,MS2,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.25,EMQ,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.25,FM,vgg16,1
1,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,vgg16,1
1,10,0.0,0.0,0.55,0.55,0.5,0.0,0.3985004425048828,0.4,0.3984375,SMM,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
2,10,0.0,0.0,0.69,0.69,0.4,0.0,0.3943004608154297,0.4,0.39453125,X,vgg16,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.25,MAX,vgg16,1
2,10,0.0,0.0,0.69,0.69,0.4,0.0,0.3943004608154297,0.4,0.39453125,T50,vgg16,1
2,10,0.0,0.0,0.59,0.59,0.5,0.0,0.39750099182128906,0.4,0.39453125,MS,vgg16,1
2,10,0.0,0.0,0.4,0.4,0.6,0.0,0.3984375,0.6,0.3984375,DyS,vgg16,1
2,10,0.0,0.0,0.37,0.37,0.7,0.0,0.39930152893066406,0.6,0.3984375,HDy,vgg16,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.25,0.0,0.25,SORD,vgg16,1
2,10,0.0,0.0,,,0.0,0.0,1.9073486328125e-06,1.0,0.5,MS2,vgg16,1
2,10,0.0,0.0,0.97,0.97,0.1,0.0,0.3914012908935547,0.0,0.25,EMQ,vgg16,1
2,10,0.0,0.0,0.67,0.67,0.4,0.0,0.3943004608154297,0.4,0.39453125,FM,vgg16,1
2,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,vgg16,1
