sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,0
1,10,0.0,0.0,0.81,0.81,0.1,0.0,0.09789848327636719,0.2,0.25,X,googlenet,0
1,10,0.0,0.0,0.81,0.81,0.1,0.0,0.09789848327636719,0.2,0.25,MAX,googlenet,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,googlenet,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,googlenet,0
1,10,0.0,0.0,0.36,0.36,0.3,0.0,0.2759990692138672,1.0,0.5,DyS,googlenet,0
1,10,0.0,0.0,0.67,0.67,0.3,0.0,0.2759990692138672,0.2,0.25,HDy,googlenet,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,googlenet,0
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,googlenet,0
1,10,0.0,0.0,0.69,0.69,0.3,0.0,0.2759990692138672,0.2,0.25,EMQ,googlenet,0
1,10,0.0,0.0,0.81,0.81,0.1,0.0,0.09789848327636719,0.2,0.25,FM,googlenet,0
1,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,googlenet,0
1,10,0.0,0.0,0.36,0.36,0.3,0.0,0.2759990692138672,1.0,0.5,SMM,googlenet,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,0
2,10,0.0,0.0,0.51,0.51,0.4,0.0,0.2326984405517578,0.5,0.25,X,googlenet,0
2,10,0.0,0.0,0.51,0.51,0.4,0.0,0.2326984405517578,0.5,0.25,MAX,googlenet,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,googlenet,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,googlenet,0
2,10,0.0,0.0,0.13,0.13,0.7,0.0,0.27609825134277344,1.0,0.5,DyS,googlenet,0
2,10,0.0,0.0,0.09,0.09,0.7,0.0,0.27609825134277344,1.0,0.5,HDy,googlenet,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,googlenet,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,googlenet,0
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,googlenet,0
2,10,0.0,0.0,0.51,0.51,0.4,0.0,0.2326984405517578,0.5,0.25,FM,googlenet,0
2,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,googlenet,0
2,10,0.0,0.0,0.25,0.25,0.7,0.0,0.27609825134277344,1.0,0.5,SMM,googlenet,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,0
3,10,0.0,0.0,0.96,0.96,0.0,0.0,0.018899917602539062,0.0,0.015625,X,googlenet,0
3,10,0.0,0.0,0.96,0.96,0.0,0.0,0.018899917602539062,0.0,0.015625,MAX,googlenet,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,googlenet,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,googlenet,0
3,10,0.0,0.0,0.23,0.23,0.7,0.0,0.27609825134277344,1.0,0.5,DyS,googlenet,0
3,10,0.0,0.0,0.51,0.51,0.1,0.0,0.27589988708496094,0.1,0.25,HDy,googlenet,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,googlenet,0
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,googlenet,0
3,10,0.0,0.0,0.67,0.67,0.1,0.0,0.27589988708496094,0.1,0.25,EMQ,googlenet,0
