sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,resnet50,1
1,10,0.0,0.0,0.19,0.19,1.0,0.0,0.31350135803222656,1.0,0.5,X,resnet50,1
1,10,0.0,0.0,0.19,0.19,1.0,0.0,0.31350135803222656,1.0,0.5,MAX,resnet50,1
1,10,0.0,0.0,1.0,1.0,0.3,0.0,1.9073486328125e-06,0.3,0.0625,T50,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,resnet50,1
1,10,0.0,0.0,0.13,0.13,1.0,0.0,0.31350135803222656,1.0,0.5,DyS,resnet50,1
1,10,0.0,0.0,0.19,0.19,1.0,0.0,0.31350135803222656,1.0,0.5,HDy,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,resnet50,1
1,10,0.0,0.0,0.16,0.16,1.0,0.0,0.31350135803222656,1.0,0.5,FM,resnet50,1
1,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,resnet50,1
1,10,0.0,0.0,0.06,0.06,1.0,0.0,0.31350135803222656,1.0,0.5,SMM,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,resnet50,1
2,10,0.0,0.0,0.35,0.35,1.0,0.0,0.31350135803222656,0.5,0.25,X,resnet50,1
2,10,0.0,0.0,0.35,0.35,1.0,0.0,0.31350135803222656,0.5,0.25,MAX,resnet50,1
2,10,0.0,0.0,1.0,1.0,0.3,0.0,1.9073486328125e-06,0.3,0.0625,T50,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,resnet50,1
2,10,0.0,0.0,0.2,0.2,1.0,0.0,0.31350135803222656,1.0,0.5,DyS,resnet50,1
2,10,0.0,0.0,0.24,0.24,1.0,0.0,0.31350135803222656,1.0,0.5,HDy,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,resnet50,1
2,10,0.0,0.0,0.32,0.32,1.0,0.0,0.31350135803222656,0.5,0.25,FM,resnet50,1
2,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,resnet50,1
2,10,0.0,0.0,0.11,0.11,1.0,0.0,0.31350135803222656,1.0,0.5,SMM,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,resnet50,1
3,10,0.0,0.0,0.68,0.68,1.0,0.0,0.31350135803222656,0.3,0.25,X,resnet50,1
3,10,0.0,0.0,0.67,0.67,1.0,0.0,0.31350135803222656,0.3,0.25,MAX,resnet50,1
3,10,0.0,0.0,1.0,1.0,0.1,0.0,1.9073486328125e-06,0.1,0.0625,T50,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,resnet50,1
3,10,0.0,0.0,0.45,0.45,1.0,0.0,0.31350135803222656,0.3,0.25,DyS,resnet50,1
3,10,0.0,0.0,0.61,0.61,1.0,0.0,0.31350135803222656,0.3,0.25,HDy,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,resnet50,1
