sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,CC,googlenet,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,ACC,googlenet,1
1,10,0.0,0.0,0.2,0.2,0.8,0.0,0.125,0.8,0.125,X,googlenet,1
1,10,0.0,0.0,0.2,0.2,0.8,0.0,0.125,0.8,0.125,MAX,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,T50,googlenet,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,MS,googlenet,1
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.6351985931396484,1.0,0.75,DyS,googlenet,1
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.6351985931396484,1.0,0.75,HDy,googlenet,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,SORD,googlenet,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,MS2,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,EMQ,googlenet,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,FM,googlenet,1
1,10,0.0,0.0,0.08,0.08,0.9,0.0,0.6351985931396484,0.9,0.5,FMM,googlenet,1
1,10,0.0,0.0,0.09,0.09,0.9,0.0,0.6351985931396484,0.9,0.5,SMM,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
2,10,0.0,0.0,0.3,0.3,0.7,0.0,0.25,0.7,0.25,X,googlenet,1
2,10,0.0,0.0,0.3,0.3,0.7,0.0,0.25,0.7,0.25,MAX,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,T50,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,googlenet,1
2,10,0.0,0.0,0.02,0.02,0.9,0.0,0.48169898986816406,1.0,0.5,DyS,googlenet,1
