sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,CC,resnet50,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,ACC,resnet50,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,X,resnet50,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,MAX,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,T50,resnet50,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,MS,resnet50,1
1,10,0.0,0.0,0.01,0.01,1.0,0.0,0.6494007110595703,1.0,0.75,DyS,resnet50,1
1,10,0.0,0.0,0.02,0.02,1.0,0.0,0.6494007110595703,1.0,0.75,HDy,resnet50,1
1,10,0.0,0.0,0.09,0.09,1.0,0.0,0.6494007110595703,0.9,0.5,SORD,resnet50,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,MS2,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.75,EMQ,resnet50,1
1,10,0.0,0.0,0.1,0.1,0.9,0.0,0.5,0.9,0.5,FM,resnet50,1
1,10,0.0,0.0,0.09,0.09,1.0,0.0,0.6494007110595703,0.9,0.5,FMM,resnet50,1
1,10,0.0,0.0,0.08,0.08,1.0,0.0,0.6494007110595703,0.9,0.5,SMM,resnet50,1
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,CC,resnet50,1
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,ACC,resnet50,1
2,10,0.0,0.0,0.3,0.3,0.7,0.0,0.125,0.7,0.125,X,resnet50,1
2,10,0.0,0.0,0.3,0.3,0.7,0.0,0.125,0.7,0.125,MAX,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.9375,1.0,0.9375,T50,resnet50,1
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,MS,resnet50,1
2,10,0.0,0.0,0.03,0.03,1.0,0.0,0.9069004058837891,1.0,0.9375,DyS,resnet50,1
2,10,0.0,0.0,0.03,0.03,1.0,0.0,0.9069004058837891,1.0,0.9375,HDy,resnet50,1
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,SORD,resnet50,1
2,10,0.0,0.0,0.2,0.2,0.8,0.0,0.5,0.8,0.5,MS2,resnet50,1
