sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.0,0.125,X,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.0,0.125,MAX,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.0,0.125,T50,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.0,0.125,DyS,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.0,0.125,HDy,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,vgg16,1
1,10,0.0,0.0,,,0.0,0.0,1.9073486328125e-06,1.0,0.5,MS2,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,vgg16,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.0,0.125,FM,vgg16,1
1,10,0.0,0.0,0.5,0.5,0.5,0.0,0.2734375,0.5,0.2734375,FMM,vgg16,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,vgg16,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.0,0.125,X,vgg16,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.0,0.125,MAX,vgg16,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.0,0.125,T50,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,vgg16,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.0,0.125,DyS,vgg16,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.0,0.125,HDy,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,vgg16,1
2,10,0.0,0.0,,,0.0,0.0,1.9073486328125e-06,1.0,0.5,MS2,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,vgg16,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.125,0.0,0.125,FM,vgg16,1
2,10,0.0,0.0,0.5,0.5,0.5,0.0,0.25390625,0.5,0.25390625,FMM,vgg16,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,vgg16,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,vgg16,1
