sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
1,10,0.0,0.0,0.3,0.3,0.7,0.0,0.03125,0.7,0.03125,X,googlenet,1
1,10,0.0,0.0,0.3,0.3,0.7,0.0,0.03125,0.7,0.03125,MAX,googlenet,1
1,10,0.0,0.0,1.0,1.0,0.0,0.0,0.00048828125,0.5,0.00390625,T50,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,googlenet,1
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.10619926452636719,1.0,0.5,DyS,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,HDy,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,googlenet,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,googlenet,1
1,10,0.0,0.0,0.02,0.02,0.9,0.0,0.10619926452636719,1.0,0.5,SMM,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
2,10,0.0,0.0,0.7,0.7,0.3,0.0,0.009765625,0.4,0.03125,X,googlenet,1
2,10,0.0,0.0,0.7,0.7,0.3,0.0,0.009765625,0.4,0.03125,MAX,googlenet,1
2,10,0.0,0.0,1.0,1.0,0.0,0.0,0.00048828125,0.2,0.0078125,T50,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,googlenet,1
2,10,0.0,0.0,0.01,0.01,1.0,0.0,0.11490058898925781,1.0,0.5,DyS,googlenet,1
2,10,0.0,0.0,0.01,0.01,1.0,0.0,0.11490058898925781,1.0,0.5,HDy,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,googlenet,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,googlenet,1
2,10,0.0,0.0,0.05,0.05,1.0,0.0,0.11490058898925781,1.0,0.5,SMM,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
3,10,0.0,0.0,0.3,0.3,0.7,0.0,0.03125,0.7,0.03125,X,googlenet,1
3,10,0.0,0.0,0.3,0.3,0.7,0.0,0.03125,0.7,0.03125,MAX,googlenet,1
3,10,0.0,0.0,1.0,1.0,0.0,0.0,0.00048828125,0.5,0.0078125,T50,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,googlenet,1
3,10,0.0,0.0,0.01,0.01,0.9,0.0,0.07869911193847656,1.0,0.5,DyS,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,HDy,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,googlenet,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,googlenet,1
3,10,0.0,0.0,0.02,0.02,0.9,0.0,0.07869911193847656,1.0,0.5,SMM,googlenet,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,googlenet,1
4,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,googlenet,1
4,10,0.0,0.0,0.6,0.6,0.4,0.0,0.0078125,0.4,0.0078125,X,googlenet,1
4,10,0.0,0.0,0.6,0.6,0.4,0.0,0.0078125,0.4,0.0078125,MAX,googlenet,1
