sample,test_size,alpha,actual_prop,pred_prop,abs_error,acc,f_score,thr,acc2,thr2,quantifier,model,pt
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,X,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MAX,resnet50,1
1,10,0.0,0.0,1.0,1.0,0.6,0.0,1.9073486328125e-06,0.9,0.00390625,T50,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,resnet50,1
1,10,0.0,0.0,0.01,0.01,0.9,0.0,0.0045986175537109375,1.0,0.5,DyS,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,HDy,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,resnet50,1
1,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,resnet50,1
1,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,X,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MAX,resnet50,1
2,10,0.0,0.0,1.0,1.0,0.7,0.0,1.9073486328125e-06,0.9,0.00390625,T50,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,resnet50,1
2,10,0.0,0.0,0.01,0.01,1.0,0.0,0.0044002532958984375,1.0,0.5,DyS,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,HDy,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,EMQ,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,FM,resnet50,1
2,10,0.0,0.0,-0.0,0.0,1.0,0.0,0.5,1.0,0.5,FMM,resnet50,1
2,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SMM,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,CC,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,ACC,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,X,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MAX,resnet50,1
3,10,0.0,0.0,1.0,1.0,0.9,0.0,1.9073486328125e-06,0.9,0.00390625,T50,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS,resnet50,1
3,10,0.0,0.0,0.01,0.01,1.0,0.0,0.0043010711669921875,1.0,0.5,DyS,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,HDy,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,SORD,resnet50,1
3,10,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,MS2,resnet50,1
