score,class
0.0029,0
1.0,1
0.9984,1
0.0002,0
1.0,1
0.0002,0
0.0022,0
1.0,1
0.0067,0
1.0,1
1.0,1
0.0008,0
0.0002,0
0.9999,1
1.0,1
0.0004,0
0.0008,0
0.9999,1
0.0013,0
0.9992,1
1.0,1
0.0001,0
1.0,1
1.0,1
0.001,0
0.0003,0
0.0009,0
0.9965,1
0.9804,1
0.0029,0
0.0002,0
1.0,1
0.9998,1
0.0012,0
0.0004,0
0.9999,1
0.0149,0
0.0061,0
0.9998,1
0.9998,1
0.8423,1
0.1591,0
0.0039,0
0.9939,1
0.0004,0
0.0004,0
0.0042,0
0.005,0
0.9999,1
0.0002,0
0.0078,0
0.0005,0
0.0002,0
0.0024,0
1.0,1
0.9999,1
1.0,1
0.0015,0
1.0,1
1.0,1
0.9998,1
0.0005,0
0.0007,0
1.0,1
0.9983,1
0.0002,0
0.0001,0
1.0,1
0.0013,0
1.0,1
0.0006,0
1.0,1
0.9921,1
0.0009,0
0.0008,0
0.0003,0
0.9997,1
0.0005,0
0.0002,0
0.0001,0
0.0026,0
0.0002,0
1.0,1
1.0,1
0.0,0
1.0,1
0.0003,0
0.0001,0
0.0,0
0.988,1
0.0071,0
0.0,0
0.0002,0
0.0002,0
0.9953,1
0.0023,0
0.9999,1
1.0,1
1.0,1
0.0047,0
0.9999,1
0.9965,1
0.9995,1
0.0,0
0.0001,0
0.0017,0
1.0,1
0.0005,0
0.0038,0
0.347,0
0.0006,0
0.009,0
0.0001,0
0.0039,0
0.0006,0
0.8811,1
0.0003,0
0.0003,0
0.9945,1
0.0009,0
0.0013,0
1.0,1
0.0003,0
0.9996,1
0.0006,0
0.9994,1
1.0,1
0.004,0
1.0,1
0.0014,0
0.0004,0
0.0019,0
0.0005,0
1.0,1
1.0,1
0.0004,0
1.0,1
0.9998,1
0.0002,0
0.1377,0
0.9991,1
0.0002,0
1.0,1
0.9988,1
0.0008,0
0.2143,0
0.9998,1
0.9995,1
0.0004,0
0.0,0
0.0003,0
1.0,1
0.0001,0
0.0002,0
0.0023,0
1.0,1
0.0,0
0.9382,1
0.0001,0
0.9933,1
1.0,1
0.9999,1
0.0027,0
0.0001,0
0.0192,0
1.0,1
0.0011,0
1.0,1
0.0025,0
1.0,1
0.9995,1
0.9996,1
0.0,0
0.998,1
0.9986,1
0.9988,1
0.0003,0
0.0001,0
0.9998,1
0.0002,0
0.9996,1
1.0,1
0.0023,0
0.0005,0
0.0148,0
0.0001,0
0.0,0
0.9943,1
0.9997,1
0.0001,0
1.0,1
0.9754,1
0.005,0
0.9874,1
0.0,0
0.0049,0
0.9989,1
0.8072,1
0.0001,0
0.0,0
0.8807,1
0.0003,0
0.0048,0
0.0056,0
0.0001,0
1.0,1
0.0002,0
0.9977,1
0.0001,0
0.9998,1
0.9941,1
0.9967,1
0.9987,1
0.9958,1
0.0004,0
1.0,1
0.9727,1
0.9999,1
0.0006,0
0.9993,1
0.8932,1
0.0008,0
0.9759,1
0.0002,0
0.0006,0
0.7263,1
1.0,1
0.0002,0
0.0001,0
0.9905,1
0.9936,1
0.001,0
0.2117,0
0.9985,1
0.0001,0
0.0001,0
0.0002,0
0.014,0
0.9994,1
0.9915,1
0.0002,0
0.0007,0
0.999,1
0.6908,0
0.0033,0
0.0,0
1.0,1
0.0003,0
0.0039,0
0.0001,0
0.9998,1
0.0003,0
0.0018,0
0.0001,0
0.9976,1
0.0441,0
0.9991,1
0.0021,0
0.9993,1
0.0002,0
0.9715,1
0.0019,0
1.0,1
0.9979,1
0.0002,0
0.9999,1
1.0,1
0.9993,1
0.0001,0
1.0,1
0.0002,0
0.9999,1
1.0,1
0.9739,1
0.0037,0
0.009,0
0.0296,0
0.0001,0
0.0,0
0.0026,0
0.9109,1
0.7783,1
1.0,1
0.0002,0
0.0018,0
0.3471,1
0.0002,0
0.9999,1
0.9828,1
0.994,1
0.9999,1
0.0008,0
1.0,1
0.0002,0
1.0,1
0.9995,1
0.0444,0
1.0,1
0.029,0
0.934,1
0.9996,1
0.0008,0
1.0,1
0.0012,0
0.9994,1
0.9995,1
0.8695,1
0.9985,1
0.0002,0
0.0001,0
1.0,1
0.9998,1
0.9999,1
0.0012,0
0.0001,0
0.0083,0
0.9879,1
0.9933,1
0.9581,1
0.0117,0
0.9872,1
0.9028,1
0.0001,0
0.0007,0
0.0029,0
0.9999,1
0.0075,0
0.9996,1
0.0007,0
0.0112,0
0.0024,0
0.0043,0
0.0001,0
1.0,1
0.9979,1
0.0,0
0.0026,0
0.0017,0
0.0,0
1.0,1
0.0002,0
1.0,1
0.998,1
0.0,0
0.0002,0
0.0005,0
0.0005,0
0.9999,1
1.0,1
0.0001,0
0.0001,0
0.0025,0
0.9996,1
0.0561,0
0.0001,0
0.003,0
0.9999,1
0.9996,1
0.9978,1
0.0001,0
0.0002,0
0.028,0
0.9998,1
0.0004,0
0.0048,0
0.0007,0
0.9999,1
1.0,1
0.029,0
0.0009,0
0.9991,1
1.0,1
0.9665,1
0.8254,1
0.9976,1
0.0085,0
1.0,1
0.0128,0
0.0,0
0.001,0
0.0228,0
0.9996,1
