score,class
0.0008,0
0.9975,1
1.0,1
0.0035,0
0.9996,1
0.9973,1
0.9972,1
0.0005,0
0.0028,0
0.0244,0
0.9992,1
0.0026,0
0.9995,1
0.0008,0
0.0016,0
0.9756,1
0.9415,1
0.9999,1
0.0012,0
0.0007,0
0.9533,1
0.0007,0
1.0,1
0.0011,0
0.9963,1
0.0008,0
0.0024,0
0.0007,0
0.9984,1
0.0024,0
0.0007,0
0.0006,0
0.0017,0
0.0038,0
0.0071,0
0.9857,1
0.9926,1
0.0013,0
0.0004,0
0.9896,1
0.0011,0
0.0014,0
0.0008,0
0.0029,0
0.0007,0
0.002,0
0.0018,0
0.0004,0
0.9976,1
0.9947,1
0.0024,0
0.0109,0
0.002,0
0.0017,0
0.0014,0
0.006,0
0.0016,0
0.0007,0
0.0005,0
0.9997,1
0.0024,0
0.0006,0
0.8402,1
0.9963,1
0.9988,1
0.0017,0
0.0028,0
0.0017,0
0.0017,0
0.9991,1
0.9948,1
0.0014,0
0.9982,1
0.9991,1
0.0012,0
0.0029,0
0.0028,0
0.0017,0
0.0587,0
0.9988,1
0.9985,1
1.0,1
0.9974,1
0.998,1
0.9995,1
0.9958,1
0.001,0
0.9996,1
0.9998,1
0.9968,1
1.0,1
0.9843,1
0.9944,1
0.0007,0
0.9999,1
0.0012,0
0.0009,0
0.0042,0
0.001,0
0.9999,1
0.002,0
0.0009,0
0.0008,0
0.9992,1
0.0015,0
0.9888,1
0.0006,0
0.9965,1
0.9979,1
0.9926,1
0.0036,0
0.0007,0
0.9995,1
0.9934,1
0.0032,0
0.9944,1
0.9988,1
0.0005,0
0.9984,1
0.0038,0
0.9957,1
0.0021,0
0.0005,0
0.0021,0
1.0,1
0.002,0
0.0007,0
1.0,1
0.0018,0
0.0006,0
0.002,0
0.0017,0
0.0021,0
0.9992,1
0.9942,1
0.9992,1
1.0,1
0.9989,1
0.9941,1
0.9957,1
0.0016,0
0.0015,0
0.9999,1
0.9633,1
0.9986,1
0.0028,0
0.9997,1
0.001,0
0.9996,1
0.003,0
0.652,0
0.0013,0
0.998,1
0.0008,0
0.0011,0
0.0013,0
0.0042,0
0.997,1
1.0,1
0.9978,1
0.9988,1
0.0017,0
0.0015,0
0.0004,0
0.9995,1
0.0006,0
0.9994,1
0.0014,0
0.0019,0
0.0006,0
0.001,0
0.0007,0
0.9985,1
0.0005,0
0.0063,0
0.9964,1
0.9994,1
0.003,0
0.9993,1
0.9922,1
0.9962,1
0.0011,0
1.0,1
0.0033,0
0.9996,1
0.0005,0
0.9999,1
0.0079,0
0.0074,0
0.0009,0
0.9998,1
0.0002,0
0.9997,1
0.9988,1
0.0037,0
0.9995,1
0.9999,1
0.0014,0
0.0009,0
0.0,0
0.0,0
0.9968,1
0.0,0
0.9996,1
0.9992,1
0.0155,0
1.0,1
0.0,0
0.002,0
0.0194,0
0.0001,0
0.9987,1
0.9979,1
0.0,0
0.9985,1
0.9999,1
0.0,0
0.0442,0
0.0,0
0.9994,1
0.0005,0
0.005,0
0.9999,1
0.9993,1
0.001,0
0.0331,0
1.0,1
0.9998,1
0.0,0
0.0008,0
0.9999,1
0.9993,1
0.0017,0
1.0,1
0.0,0
0.0042,0
0.0102,0
0.9999,1
0.9991,1
0.9999,1
0.9991,1
0.9453,1
0.0,0
0.9975,1
0.9991,1
0.0,0
0.1207,0
0.0002,0
0.9999,1
0.0,0
0.9694,1
1.0,1
0.0003,0
0.0,0
0.9976,1
1.0,1
1.0,1
0.9998,1
0.0004,0
0.9999,1
0.7765,1
0.9981,1
0.997,1
1.0,1
0.9986,1
0.0,0
0.0105,0
0.0,0
0.9995,1
1.0,1
0.9999,1
0.9998,1
0.0203,0
0.0,0
0.0,0
0.0175,0
0.9965,1
0.0,0
0.0001,0
0.0,0
0.0417,0
0.022,0
1.0,1
0.0,0
0.0,0
0.0,0
0.0048,0
1.0,1
0.0001,0
0.0049,0
0.0002,0
0.9999,1
0.9962,1
0.0006,0
0.0055,0
0.1271,0
0.9998,1
0.0,0
0.0014,0
1.0,1
0.9986,1
0.9968,1
0.0003,0
0.9966,1
0.9997,1
0.9989,1
0.0,0
0.0001,0
0.998,1
0.0,0
0.0,0
1.0,1
0.0004,0
1.0,1
0.0,0
0.9998,1
1.0,1
0.0001,0
0.0289,0
1.0,1
0.4817,1
1.0,1
0.0,0
0.0,0
0.0001,0
0.0,0
0.0,0
0.0005,0
0.001,0
0.9988,1
1.0,1
0.0,0
0.9989,1
0.0151,0
0.2643,0
0.0,0
1.0,1
1.0,1
1.0,1
0.997,1
1.0,1
0.9999,1
0.9998,1
0.0,0
0.0,0
0.0088,0
1.0,1
0.9986,1
0.9975,1
1.0,1
0.0,0
0.0001,0
0.0001,0
1.0,1
0.0701,0
0.0,0
0.0,0
0.9928,1
0.0001,0
0.9977,1
1.0,1
0.0003,0
1.0,1
1.0,1
0.9986,1
0.0,0
0.0,0
0.0,0
0.7057,1
0.1069,0
0.0,0
0.0,0
0.0001,0
1.0,1
0.9999,1
0.9993,1
0.0008,0
0.0,0
0.0052,0
1.0,1
0.0574,0
0.9024,1
