score,class
0.0,0
0.0,0
0.9999,1
0.9979,1
0.0,0
0.0,0
0.0,0
0.0,0
1.0,1
0.9999,1
0.0,0
1.0,1
0.1579,1
1.0,1
0.0,0
0.0001,0
0.0,0
0.0001,0
0.0019,0
0.0,0
1.0,1
1.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0001,0
0.0,0
1.0,1
1.0,1
0.9963,1
0.0,0
0.0,0
0.9997,1
0.0,0
0.0,0
1.0,1
0.0,0
0.0,0
1.0,1
0.0,0
0.9995,1
1.0,1
1.0,1
0.0,0
0.0,0
0.0,0
1.0,1
0.0,0
0.0,0
0.0,0
1.0,1
0.0117,1
1.0,1
0.0,0
0.0362,0
0.0,0
0.0,0
1.0,1
0.0,0
1.0,1
0.0499,0
1.0,1
1.0,1
0.0,0
1.0,1
0.0008,0
0.0,0
0.0,0
0.0005,0
0.9997,1
0.0,0
1.0,1
1.0,1
1.0,1
1.0,1
0.0013,0
0.0,0
1.0,1
1.0,1
1.0,1
0.0,0
0.0002,0
1.0,1
0.0,0
1.0,1
0.6113,0
0.0,0
0.0565,0
1.0,1
0.9999,1
0.0,0
1.0,1
0.0019,0
0.9906,0
0.0066,0
0.0,0
1.0,1
0.0,0
1.0,1
0.0,0
1.0,1
0.0048,0
0.9997,1
0.0015,0
1.0,1
1.0,1
1.0,1
1.0,1
0.0,0
1.0,1
0.001,0
0.0,0
0.0,0
1.0,1
1.0,1
1.0,1
0.0,0
0.0,0
1.0,1
0.0,0
0.0,0
1.0,1
1.0,1
0.9786,1
0.0003,0
0.0002,0
1.0,1
0.3048,0
1.0,1
0.0142,0
0.0003,0
1.0,1
1.0,1
0.0,0
1.0,1
0.9999,1
0.0002,0
1.0,1
0.0,0
1.0,1
0.0,0
1.0,1
0.0,0
0.0,0
1.0,1
0.0,0
0.0003,0
0.9999,1
0.0,0
0.0,0
0.0,0
0.9934,1
0.0002,0
0.0,0
0.9071,1
1.0,1
0.0003,0
1.0,0
1.0,1
0.1158,0
1.0,1
0.0,0
0.0005,0
1.0,1
0.0,0
1.0,1
1.0,1
1.0,1
0.0,0
1.0,1
0.0,0
0.0,0
0.0,0
1.0,1
0.0,0
0.0,0
0.0,0
1.0,1
0.0001,0
1.0,1
0.0,0
0.0,0
0.0,0
1.0,1
1.0,1
0.0016,0
1.0,1
0.0,0
1.0,1
0.0012,0
0.0,0
1.0,1
1.0,1
0.9997,1
1.0,1
0.0,0
1.0,1
1.0,1
1.0,1
0.0001,0
0.0002,0
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
0.0001,0
1.0,1
0.0532,0
0.0036,0
0.0003,0
0.0026,0
0.0025,0
0.0,0
0.0156,0
0.0004,0
0.0001,0
0.0,0
0.0002,0
1.0,1
0.0003,0
1.0,1
0.9996,1
0.0002,0
0.998,1
0.0001,0
1.0,1
0.0001,0
0.9995,1
0.9996,1
1.0,1
1.0,1
0.0,0
0.0005,0
0.0,0
0.9997,1
1.0,1
0.9983,1
0.8347,1
0.0,0
0.0002,0
0.019,0
0.0001,0
0.0026,0
0.0,0
1.0,1
0.0001,0
0.0001,0
1.0,1
1.0,1
0.9968,1
0.0,1
0.0007,0
0.0145,0
0.0016,0
0.0002,0
1.0,1
1.0,1
0.0005,0
1.0,1
1.0,1
0.0,0
1.0,1
0.0085,0
0.0001,0
0.0001,0
0.9922,1
1.0,1
0.9495,1
1.0,1
0.0016,0
0.0001,0
0.0,0
0.002,0
0.0008,0
0.9956,1
0.9994,1
1.0,1
0.0003,0
1.0,1
0.9976,1
0.9498,0
0.0004,0
0.0002,0
0.9341,1
0.9999,1
0.0,0
1.0,1
0.0001,0
0.9692,1
1.0,1
0.4958,1
1.0,1
0.0123,0
0.0,0
1.0,1
0.0022,0
0.0002,0
0.0001,0
1.0,1
1.0,1
0.0003,0
0.0,0
0.0002,0
0.9971,1
0.0001,0
1.0,1
1.0,1
0.0002,0
0.0001,0
0.9998,1
0.0001,0
0.9963,1
0.0001,0
0.9979,1
1.0,1
0.9941,1
0.0034,0
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0,0
0.9999,1
1.0,1
0.0003,0
0.0,0
1.0,1
0.0,0
0.9225,1
0.0002,0
0.455,1
1.0,1
0.0001,0
0.0001,0
0.0001,0
0.9982,1
0.0002,0
0.0,0
0.0,0
0.0023,0
0.0001,0
1.0,1
0.0,0
1.0,1
0.7978,0
0.0,0
0.0131,0
0.001,0
1.0,1
1.0,1
0.1287,0
1.0,1
0.9999,1
0.299,0
1.0,1
0.0,0
1.0,1
0.0,0
0.0024,0
0.0001,0
0.0,0
0.9988,1
0.0003,0
1.0,1
0.0,0
0.0001,0
0.9663,1
0.0,0
0.0,0
1.0,1
1.0,1
0.0001,0
0.0001,0
0.0,0
1.0,1
1.0,1
0.0003,0
1.0,1
0.0006,0
