score,class
1.0,1
0.0002,0
0.0018,0
0.0006,0
0.0,0
0.0004,0
0.0009,0
0.0019,0
0.9999,1
0.0,0
0.0,0
0.0,0
0.991,1
0.0002,0
0.9998,1
0.0001,0
0.0006,0
0.9964,1
0.0,0
0.9981,1
0.0001,0
0.0052,0
0.9999,1
0.0001,0
0.9995,1
0.9989,1
0.0,0
0.975,1
0.0007,0
0.0001,0
0.0009,0
0.9998,1
0.9771,1
0.996,1
0.9941,1
1.0,1
0.0001,0
0.9934,1
1.0,1
0.9972,1
0.9999,1
0.0,0
0.0001,0
0.9985,1
0.0001,0
0.9997,1
0.0013,0
0.0006,0
0.0004,0
0.0001,0
0.0001,0
0.001,0
0.9766,1
0.9999,1
0.0002,0
0.9991,1
0.8435,1
0.675,1
0.0005,0
0.0,0
0.9899,1
0.0027,0
0.0008,0
0.9987,1
0.9948,1
0.9994,1
0.9992,1
0.0,0
0.9997,1
0.9994,1
0.9996,1
1.0,1
0.0,0
0.9843,1
0.0001,0
1.0,1
0.0,0
0.0,0
0.0018,0
0.9998,1
0.9998,1
0.0004,0
0.9989,1
0.0001,0
0.9959,1
0.0007,0
0.0007,0
0.0012,0
0.9854,1
0.0002,0
0.996,1
0.9999,1
0.999,1
0.9998,1
0.9981,1
0.9999,1
0.0002,0
0.0003,0
0.9997,1
0.0,0
0.9988,1
0.0001,0
0.999,1
0.9764,1
0.0003,0
0.9995,1
0.0011,0
0.0001,0
0.0,0
0.0023,0
0.0001,0
0.9977,1
0.001,0
0.9998,1
0.998,1
0.9753,1
0.0009,0
0.9999,1
0.0001,0
0.9979,1
0.0001,0
0.9986,1
0.9487,1
0.0003,0
0.0,0
0.0002,0
0.9983,1
0.9998,1
0.9995,1
0.9967,1
0.9999,1
0.9994,1
0.9995,1
0.9992,1
0.0001,0
0.9835,1
0.0001,0
0.9998,1
0.0001,0
0.0026,0
0.0004,0
0.9939,1
1.0,1
0.0004,0
0.0,0
0.0002,0
0.9939,1
0.0002,0
0.0001,0
0.0001,0
0.0004,0
0.0,0
0.9999,1
0.0021,0
0.9998,1
0.0006,0
0.0,0
0.9999,1
0.9999,1
0.0006,0
0.9941,1
0.0006,0
0.0011,0
0.0002,0
0.0004,0
0.0004,0
0.0001,0
0.0001,0
0.9981,1
0.9929,1
0.0002,0
0.0001,0
0.0007,0
0.0,0
0.9641,1
1.0,1
0.0001,0
0.9996,1
0.0001,0
0.9995,1
0.0002,0
1.0,1
0.9996,1
1.0,1
0.0003,0
0.0001,0
0.0,0
0.9957,1
1.0,1
0.0002,0
0.9955,1
0.0001,0
0.0004,0
0.0001,0
0.0001,0
1.0,1
0.9988,1
0.0013,0
1.0,1
1.0,1
0.9983,1
0.0016,0
0.9999,1
0.0017,0
0.9997,1
0.0003,0
0.9999,1
0.9995,1
0.0144,0
0.0,0
0.0023,0
0.9995,1
0.9584,1
0.9997,1
0.9999,1
0.9996,1
0.9997,1
0.0002,0
0.9999,1
0.0001,0
0.9999,1
0.9989,1
0.0008,0
0.0008,0
0.0002,0
1.0,1
0.0001,0
0.0001,0
0.997,1
0.9999,1
0.0011,0
0.0001,0
0.0001,0
0.0003,0
0.0001,0
0.0004,0
0.9998,1
0.0001,0
0.0,0
0.9999,1
0.0003,0
0.0005,0
0.0001,0
0.9998,1
0.9995,1
0.0,0
0.9999,1
0.9741,1
0.9994,1
0.0244,0
0.0788,0
0.0002,0
0.0001,0
0.003,0
0.9852,1
0.0006,0
0.2634,0
0.0002,0
0.0002,0
0.9985,1
0.0,0
0.9972,1
0.1412,0
0.9999,1
0.0005,0
0.9999,1
0.0448,0
1.0,1
0.9989,1
0.001,0
0.9995,1
1.0,1
1.0,1
0.9994,1
0.9839,1
0.0006,0
0.0017,0
0.0,0
0.9901,1
1.0,1
0.0,0
0.0001,0
1.0,1
1.0,1
0.0002,0
0.0005,0
0.0001,0
0.0,0
0.0001,0
1.0,1
0.0001,0
0.9939,1
1.0,1
0.9999,1
0.0,0
1.0,1
1.0,1
0.998,1
0.9985,1
0.0,0
0.9995,1
1.0,1
0.9999,1
0.0001,0
0.0004,0
0.0001,0
1.0,1
0.0001,0
0.0001,0
0.0059,0
0.0002,0
0.0018,0
0.0004,0
0.0006,0
0.0021,0
0.0001,0
0.0313,0
0.0,0
0.9984,1
0.0001,0
0.9993,1
0.9286,1
0.0001,0
0.9995,1
0.9988,1
0.0006,0
0.9998,1
0.7553,1
0.9995,1
0.0001,0
0.0004,0
0.0002,0
0.9919,1
0.0002,0
0.0002,0
0.0019,0
0.0001,0
0.0001,0
0.0,0
0.0,0
1.0,1
0.9999,1
0.0002,0
0.9887,1
0.0002,0
0.9982,1
0.0003,0
0.0003,0
0.9903,1
0.9989,1
1.0,1
0.0004,0
0.0003,0
0.0026,0
0.0026,0
0.0001,0
0.003,0
0.0,0
0.9995,1
0.9978,1
0.0001,0
0.0,0
0.0002,0
0.0009,0
0.9993,1
1.0,1
0.0,0
0.0004,0
0.9999,1
0.9999,1
0.9988,1
0.9998,1
0.0006,0
0.9993,1
0.9996,1
0.9898,1
0.9998,1
0.0,0
1.0,1
0.0075,0
0.0019,0
0.0057,0
0.9837,1
1.0,1
1.0,1
0.0001,0
0.9969,1
0.0001,0
0.9999,1
1.0,1
0.0032,0
1.0,1
0.9999,1
0.0011,0
0.0001,0
0.9998,1
0.9992,1
0.0001,0
0.0002,0
0.0001,0
0.0002,0
0.9985,1
0.0001,0
1.0,1
0.9999,1
0.9976,1
0.0011,0
0.9955,1
0.0001,0
0.9994,1
0.0003,0
0.0007,0
