score,class
0.7092,0
0.9849,1
0.1287,0
0.8771,1
0.8166,1
0.991,1
0.0007,0
0.4541,1
0.0064,0
0.7294,1
0.9111,0
0.0014,0
0.4534,1
0.9887,1
0.0694,0
0.0033,0
0.0,0
0.0722,0
0.0069,0
0.0368,0
0.845,0
0.4979,0
0.0006,0
0.4027,0
0.0257,0
0.018,0
0.0031,0
0.3167,1
0.9916,1
0.2716,0
0.2145,0
0.0621,0
0.0007,0
0.0151,0
0.3651,0
0.0006,0
0.0005,0
0.0181,0
0.0034,0
0.9737,1
0.6546,1
0.9773,1
0.7104,0
0.0012,0
0.9634,1
0.952,1
0.9225,1
0.9927,1
0.2971,1
0.4284,1
0.0004,0
0.1507,1
0.439,1
0.7509,1
0.0027,0
0.7482,0
0.0664,0
0.6361,1
0.977,1
0.0659,0
0.2332,0
0.9865,1
0.5519,1
0.6145,1
0.002,0
0.8704,1
0.8803,1
0.0218,0
0.6453,1
0.1357,0
0.6785,1
0.9845,1
0.9414,1
0.277,0
0.0023,0
0.9564,1
0.1428,1
0.538,1
0.9943,1
0.0107,0
0.947,1
0.4306,1
0.0268,0
0.4143,1
0.0,0
0.953,1
0.1504,0
0.3556,0
0.1061,1
0.2376,0
0.9723,1
0.7608,1
0.6012,1
0.3366,0
0.8284,1
0.9564,1
0.484,1
0.048,0
0.5223,0
0.4788,0
0.2079,0
0.6767,1
0.3155,0
0.7928,1
0.9341,1
0.9815,0
0.0368,0
0.447,0
0.0024,0
0.0199,0
0.0119,0
0.0964,1
0.0678,0
0.7153,0
0.9552,1
0.8937,0
0.8988,1
0.9629,1
0.4161,1
0.0045,0
0.7192,1
0.1957,0
0.9591,1
0.0066,0
0.0393,0
0.9923,1
0.8774,1
0.0008,0
0.8965,1
0.0017,0
0.937,1
0.9899,0
0.6866,0
0.0094,0
0.9818,1
0.9197,1
0.0314,0
0.1126,0
0.0057,0
0.0742,0
0.0003,0
0.96,1
0.7747,1
0.0915,0
0.0535,0
0.5071,1
0.9777,1
0.0,0
0.0013,0
0.7723,0
0.0003,0
0.7775,1
0.9907,1
0.0008,0
0.8602,0
0.9781,1
0.1189,0
0.6115,0
0.9654,1
0.8672,0
0.9602,1
0.0023,0
0.0201,0
0.8337,1
0.0688,0
0.9699,1
0.0286,0
0.9391,1
0.0348,0
0.5461,1
0.9657,1
0.2302,0
0.4775,1
0.9336,1
0.2528,0
0.5192,1
0.9617,1
0.612,1
0.0014,0
0.0068,0
0.871,1
0.0954,0
0.0402,0
0.9105,1
0.9312,1
0.0058,0
0.3506,1
0.9754,1
0.9812,1
0.8583,1
0.8354,0
0.2479,1
0.0104,0
0.0778,0
0.5406,1
0.1944,0
0.6502,1
0.4776,1
0.8403,1
0.561,1
0.0348,0
0.0018,0
0.616,0
0.0286,0
0.9684,1
0.9699,1
0.9997,1
0.0006,0
1.0,1
1.0,1
0.0109,0
0.0,0
0.0275,0
0.008,0
0.0019,0
1.0,1
0.0218,0
0.1306,0
1.0,1
1.0,1
0.0046,0
1.0,1
0.0288,0
0.0109,0
0.003,0
0.0006,0
0.1161,0
1.0,1
0.0057,0
0.9999,1
1.0,1
0.0189,0
1.0,1
0.9839,1
1.0,1
0.0423,0
0.0632,0
1.0,1
0.9985,1
0.001,0
0.0005,0
0.0013,0
1.0,1
0.0017,0
0.0846,0
0.0025,0
1.0,1
0.0004,0
1.0,1
0.0,0
0.0017,0
0.0322,0
0.9999,1
0.0022,0
0.0027,0
0.0039,0
0.9998,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0528,0
1.0,1
0.0005,0
0.0054,0
0.0001,0
0.0057,0
0.0122,0
0.9914,1
0.0897,0
0.0021,0
1.0,1
0.0197,0
0.0188,0
0.019,0
0.0137,0
1.0,1
0.0016,0
0.9999,1
0.007,0
0.0176,0
1.0,1
0.0296,0
0.0015,0
0.1595,0
0.0223,0
1.0,1
1.0,1
0.0535,0
1.0,1
0.0028,0
0.0181,0
1.0,1
1.0,1
0.0648,0
0.0522,0
0.0121,0
1.0,1
0.9998,1
1.0,1
0.998,1
0.3504,0
0.0024,0
1.0,1
0.0063,0
0.005,0
1.0,1
0.9976,1
0.0004,0
0.0008,0
1.0,1
1.0,1
0.0055,0
0.0025,0
0.0377,0
0.9962,1
0.9426,1
0.0562,0
0.0018,0
0.0024,0
0.019,0
1.0,1
0.0052,0
1.0,1
0.9994,1
0.0,0
0.019,0
1.0,1
0.0081,0
0.0023,0
1.0,1
1.0,1
1.0,1
1.0,1
0.3685,0
0.001,0
1.0,1
0.9999,1
0.0008,0
0.0003,0
0.9996,1
1.0,1
1.0,1
0.9088,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.019,0
0.0007,0
1.0,1
0.1332,0
0.9934,1
0.0082,0
1.0,1
0.9935,1
1.0,1
0.0174,0
0.0001,0
1.0,1
1.0,1
0.0074,0
0.0061,0
0.0055,0
0.169,0
0.0001,0
0.003,0
0.0006,0
1.0,1
1.0,1
0.008,0
0.0159,0
1.0,1
1.0,1
0.1448,0
0.9973,1
0.3608,0
0.0025,0
0.0937,0
0.0014,0
0.5476,1
0.0595,0
1.0,1
1.0,1
1.0,1
0.0109,0
1.0,1
0.0398,0
0.0116,0
1.0,1
0.0012,0
1.0,1
0.9997,1
1.0,1
0.0071,0
0.1696,0
1.0,1
1.0,1
0.1811,0
0.0024,0
0.9998,1
0.0289,0
0.0338,0
1.0,1
0.9729,1
0.0008,0
0.0,0
0.9991,1
0.9977,1
1.0,1
