score,class
0.0003,0
1.0,1
0.0003,0
1.0,1
1.0,1
1.0,1
0.001,0
0.9991,1
1.0,1
0.0003,0
1.0,1
1.0,1
0.9528,1
1.0,1
1.0,1
1.0,1
1.0,1
0.2074,1
1.0,1
0.0003,0
0.9998,1
0.9971,1
1.0,1
1.0,1
0.0003,0
0.0003,0
0.0003,0
1.0,1
1.0,1
1.0,1
0.0003,0
0.0003,0
1.0,1
0.9999,1
0.0003,0
0.0003,0
0.0003,0
0.9994,1
0.0003,0
0.0005,0
0.0003,0
0.0003,0
0.0003,0
0.0003,0
1.0,1
1.0,1
0.0003,0
1.0,1
0.0003,0
1.0,1
0.0003,0
0.0003,0
0.0003,0
1.0,1
0.0003,0
0.0003,0
0.0003,0
0.0003,0
0.0005,0
1.0,1
1.0,1
1.0,1
1.0,1
0.0003,0
1.0,1
0.0003,0
1.0,1
0.9858,1
0.0003,0
0.0008,1
0.0003,0
1.0,1
1.0,1
1.0,1
0.0003,0
0.0003,0
1.0,1
0.0003,0
0.0003,0
1.0,1
1.0,1
0.0004,0
1.0,1
0.0003,0
1.0,1
1.0,1
1.0,1
1.0,1
0.0003,0
1.0,1
0.0003,0
1.0,1
1.0,1
0.0003,0
1.0,1
1.0,1
1.0,1
0.0003,0
0.0003,0
0.0003,0
0.0003,0
1.0,1
1.0,1
1.0,1
0.0003,0
0.9991,1
0.885,1
0.0004,0
0.0003,0
1.0,1
0.0204,0
1.0,1
0.0003,0
1.0,1
1.0,1
1.0,1
0.0003,0
1.0,1
0.0003,0
0.0003,0
0.0003,0
0.0003,0
1.0,1
0.0003,0
0.0003,0
0.0007,0
0.0003,0
0.0003,0
0.9423,1
1.0,1
0.0003,0
0.0003,0
0.0003,0
1.0,1
0.0003,0
0.0003,0
0.2637,0
0.0003,0
1.0,1
0.0003,0
1.0,1
0.0003,0
0.0003,0
0.0003,0
0.0003,0
1.0,1
0.0006,0
1.0,1
0.0003,0
1.0,1
0.0003,0
0.9712,1
1.0,1
0.0003,0
0.0003,0
0.0003,0
1.0,1
0.0003,0
0.0003,0
0.0003,0
0.0003,0
1.0,1
0.0003,0
0.0003,0
1.0,1
1.0,1
1.0,1
0.0003,0
1.0,1
0.0003,0
0.0004,0
0.0003,0
1.0,1
0.0003,0
0.9979,1
0.0003,0
0.0003,0
1.0,1
0.0003,0
0.0003,0
1.0,1
0.0003,0
1.0,1
1.0,1
1.0,1
1.0,1
0.0003,0
0.0003,0
0.9971,1
1.0,1
0.0003,0
0.0003,0
0.0003,0
0.0011,0
1.0,1
0.0003,0
0.0003,0
0.0003,0
0.0003,0
1.0,1
1.0,1
0.0003,0
0.0003,0
1.0,1
0.0003,0
0.0003,1
0.0447,0
0.0693,0
0.1658,0
0.0467,0
0.0812,0
0.1289,0
0.3664,1
0.9663,1
0.1963,0
0.051,0
0.127,0
0.9875,1
0.0381,0
0.992,1
0.1264,0
0.2104,1
0.7539,1
0.0542,0
0.0707,0
0.986,1
0.1019,0
0.9969,1
0.8296,1
0.9752,1
0.9924,1
0.0448,0
0.9779,1
0.9792,1
0.0321,0
0.9898,1
0.9369,1
0.9953,1
0.9965,1
0.051,0
0.9992,1
0.3286,1
0.998,1
0.3279,0
0.9573,1
0.2575,0
0.5337,1
0.0859,0
0.5186,0
0.041,0
0.9982,1
0.056,0
0.0978,0
0.9982,1
0.1111,0
0.9838,1
0.5872,0
0.5036,0
0.9598,1
0.1046,0
0.0842,0
0.999,1
0.0382,0
0.0391,0
0.0615,0
0.0358,0
0.9462,1
0.7495,1
0.9399,1
0.7396,0
0.9932,1
0.9977,1
0.1766,0
0.6994,1
0.4281,0
0.1724,0
0.0361,0
0.1876,0
0.387,1
0.9909,1
0.9954,1
0.5718,1
0.9978,1
0.057,0
0.0377,0
0.0433,0
0.3508,0
0.9899,1
0.11,0
0.874,1
0.9414,1
0.065,0
0.995,1
0.0639,0
0.9941,1
0.9795,1
0.0678,0
0.9635,1
0.0306,0
0.0435,0
0.9819,1
0.0755,0
0.9988,1
0.0409,0
0.0462,0
0.9182,1
0.0971,0
0.0421,0
0.9867,1
0.9896,1
0.0763,0
0.9927,1
0.1133,0
0.9967,1
0.134,0
0.2803,0
0.0328,0
0.1912,0
0.0341,0
0.2937,0
0.303,1
0.9958,1
0.0539,0
0.0811,0
0.0329,0
0.036,0
0.2565,0
0.3493,0
0.9993,1
0.9966,1
0.9946,1
0.1423,0
0.5336,0
0.0585,0
0.9854,1
0.9992,1
0.9358,1
0.0469,0
0.1194,0
0.0719,0
0.1191,1
0.0885,0
0.2406,1
0.0576,0
0.1594,1
0.2039,1
0.1071,1
0.999,1
0.0491,0
0.9963,1
0.0391,0
0.5691,1
0.9999,1
0.0496,0
0.8154,1
0.2111,0
0.226,0
0.9938,1
0.111,0
0.1674,0
0.0653,0
0.996,1
0.9991,1
0.9961,1
0.9996,1
1.0,1
0.0447,0
0.0479,0
0.1354,0
0.0595,0
0.9891,1
0.9979,1
0.363,0
0.0518,0
0.5868,1
0.0608,0
0.1396,0
0.0458,0
0.0507,0
0.9985,1
0.0921,0
0.9531,1
0.2082,0
0.0757,0
0.0424,0
0.7287,0
0.0328,0
0.9754,1
0.8209,1
0.0543,0
0.9736,1
0.33,0
0.0492,0
0.2648,0
0.9942,1
0.9715,1
0.1053,0
0.9564,1
0.1507,0
0.9956,1
0.1156,0
0.9979,1
0.9978,1
0.4415,0
0.4916,0
0.1822,0
0.1806,1
0.0584,0
0.9893,1
0.9442,1
0.0843,0
0.3342,1
