score,class
0.066,0
0.0963,0
0.7554,1
0.9973,1
0.0527,0
0.9458,1
0.0664,0
0.0677,0
0.666,1
0.0325,0
0.0627,0
0.0459,0
0.9912,1
0.899,1
0.0282,1
0.5818,1
0.016,0
0.898,1
0.6389,1
0.0585,0
0.0362,0
0.9601,1
0.3203,1
0.957,1
0.9998,1
0.9998,1
0.9359,1
0.0534,0
0.1469,0
0.9503,1
0.0913,0
0.0378,0
0.9583,1
0.8228,1
0.0153,0
0.1039,0
0.1357,0
0.0155,0
0.9741,1
0.1704,0
0.8702,1
0.0423,0
0.1251,1
0.2238,0
0.0208,0
0.0396,0
0.954,1
0.9491,1
0.14,0
0.0778,0
0.9079,1
0.0238,0
0.1462,0
0.0144,0
0.0362,0
0.076,0
0.054,0
0.7801,1
0.9451,1
0.9622,1
0.9996,1
0.0261,0
0.0253,0
0.1728,1
0.0174,0
0.2085,0
0.0457,0
0.0523,0
0.6498,1
0.0231,0
0.77,1
0.0199,0
0.008,0
0.0331,0
0.9952,1
0.8753,1
0.9962,1
0.0882,0
0.0251,0
0.7443,1
0.0221,0
0.2913,0
0.0672,0
0.9377,1
0.9985,1
0.9771,1
0.9959,1
0.1567,0
0.1148,0
0.1997,0
0.1796,0
0.0403,0
0.3137,0
0.8232,1
0.814,1
0.0519,0
0.1224,0
0.519,1
0.1038,0
0.9964,1
0.9995,1
0.0069,0
0.0344,0
0.0209,0
0.9138,1
0.0723,0
0.9573,1
0.0578,0
0.0539,0
0.1149,0
0.9999,1
0.2994,0
0.976,1
0.9965,1
0.1289,0
0.9923,1
0.9271,1
0.9991,1
0.0427,0
0.1075,0
0.1371,0
0.0389,0
0.956,1
0.9589,1
0.0419,0
0.999,1
0.9427,1
0.9998,1
0.9911,1
0.9987,1
0.9999,1
0.0157,0
0.2019,1
0.1492,1
0.998,1
0.5047,0
0.0444,0
0.2453,0
0.0428,0
0.0391,0
0.1545,0
0.9406,1
0.0502,0
0.0525,0
0.963,1
0.0249,0
0.9462,1
0.9247,1
0.1101,0
0.026,0
0.0642,0
0.0342,0
0.0798,0
0.9997,1
0.2032,1
0.0253,0
0.9294,1
0.9903,1
0.0654,0
0.9135,1
0.9444,1
1.0,1
0.0893,0
0.0773,0
0.0642,0
0.9267,1
0.9988,1
0.0579,0
0.0143,0
0.9549,1
0.0295,0
0.0469,0
0.982,1
0.4416,0
0.1739,0
0.2326,0
0.9905,1
0.9746,1
0.0372,0
0.1222,0
0.8984,1
0.3664,0
0.8584,1
0.5537,1
0.0204,0
0.9336,1
0.0197,0
0.9047,1
0.0253,0
0.96,1
0.0393,0
0.9896,1
0.9966,1
0.0552,0
0.4058,1
0.992,1
0.1787,0
1.0,1
0.9915,1
0.097,0
0.0932,0
0.0453,0
0.0358,0
0.2159,0
0.9737,1
0.9535,1
0.18,0
0.0141,0
0.8909,1
0.4785,0
0.3228,1
0.1076,0
0.9929,1
0.9791,1
0.2199,0
0.055,0
0.0524,0
0.98,1
0.0517,0
0.1042,0
0.0463,0
0.1363,0
0.1371,0
0.8682,1
