score,class
0.8905,1
0.0002,0
0.9982,1
0.9998,1
0.9945,1
0.1722,0
0.9998,1
0.0002,0
0.9995,1
0.9922,1
0.0889,0
0.0,0
0.0001,0
0.0001,0
0.0001,0
0.0,0
0.0,0
0.0002,0
0.9935,1
0.0003,0
0.999,1
0.0002,0
0.009,0
0.1042,0
0.0002,0
0.0864,0
0.0001,0
0.0,0
0.9979,1
0.1686,0
0.9254,1
0.9438,1
0.9776,1
0.9995,1
0.0061,0
0.0007,0
0.9999,1
0.0,0
0.0004,0
0.1068,0
0.557,1
0.9899,1
0.0003,0
0.0002,0
0.0001,0
0.0014,0
0.0032,0
0.9999,1
0.9782,1
0.091,0
0.9971,1
0.9998,1
0.9994,1
0.9076,1
0.1467,0
0.0002,0
0.0005,0
0.0,0
0.0,0
0.9948,1
0.0001,0
0.0006,0
0.0001,0
0.9921,1
0.9954,1
0.9992,1
0.8875,1
0.9988,1
0.9358,1
0.0885,0
0.0061,0
0.8747,1
0.9998,1
0.8585,1
0.0015,0
0.9819,1
0.0003,0
0.0715,0
0.3952,0
0.984,1
0.4358,0
0.1714,0
0.0003,0
0.9335,1
0.1469,0
0.0002,0
0.9878,1
0.0006,0
0.9972,1
0.9946,1
0.9919,1
0.9686,1
0.0002,0
0.1354,0
0.0029,0
0.0988,0
0.0,0
0.373,1
0.0007,0
0.9997,1
0.0049,0
0.0,0
0.0002,0
0.9984,1
0.0008,0
0.1083,0
0.0025,0
0.9238,1
0.0003,0
0.9997,1
0.9996,1
0.9937,1
0.0001,0
0.8261,1
0.0002,0
0.0827,0
0.0002,0
0.9961,1
0.0001,0
0.0001,0
0.0,0
0.8582,1
0.0006,0
0.8783,1
0.9994,1
0.0003,0
0.0001,0
0.0006,0
0.9998,1
0.0,0
0.0,0
0.0,0
0.9931,1
0.9893,1
0.0001,0
0.2339,0
0.7981,1
0.9932,1
0.0,0
0.0001,0
0.1103,0
0.1597,0
0.1481,0
0.1656,0
0.0002,0
0.0001,0
0.0,0
0.0042,0
0.0001,0
0.9913,1
0.8171,0
0.0,0
0.0008,0
0.0005,0
0.9614,1
0.0,0
0.8722,1
0.9341,1
0.0006,0
0.9973,1
0.1057,0
0.0009,0
0.9998,1
0.9928,1
0.0012,0
0.9989,1
0.0343,0
0.9996,1
0.9178,1
0.0015,0
0.0,0
0.8872,1
0.0004,0
0.1897,0
0.9911,1
0.9996,1
0.9998,1
0.9948,1
0.9777,1
0.9998,1
0.0001,0
0.9896,1
0.8839,1
0.0962,0
0.9676,1
0.0002,0
0.9996,1
0.0005,0
0.0021,0
0.3195,0
0.9959,1
0.3541,0
0.0021,0
0.9819,1
0.0,0
0.0011,0
0.0001,0
0.9381,1
0.9611,1
0.9979,1
0.9986,1
0.2878,0
0.4654,0
0.9282,1
0.8865,1
0.9998,1
0.0002,0
0.0,0
0.0006,0
0.0004,0
0.9925,1
0.8862,1
0.1497,0
0.9996,1
0.0006,0
0.0015,0
0.9858,1
0.006,0
0.0008,0
0.0001,0
0.9212,1
0.0002,0
0.0001,0
0.9992,1
0.9996,1
0.9905,1
0.1359,0
0.0001,0
0.0023,0
0.0,0
0.0001,0
0.1401,0
0.0,0
0.8912,1
0.0001,0
0.9965,1
0.957,1
0.0012,0
0.9932,1
0.9769,1
0.8438,1
0.2563,0
0.0004,0
0.078,0
0.0327,0
0.9998,1
0.9991,1
0.0002,0
0.0003,0
0.0019,0
0.9545,1
0.9919,1
0.0005,0
0.9832,1
0.9991,1
0.0943,0
0.0001,0
0.0872,0
0.0002,0
0.0992,0
0.0003,0
0.0001,0
0.9991,1
0.991,1
0.9956,1
0.0,0
0.0001,0
0.0,0
0.9123,1
0.0001,0
0.0037,0
0.0003,0
0.0,0
0.0004,0
0.0009,0
0.9923,1
0.0849,0
0.0001,0
0.9064,1
0.0994,0
0.9998,1
0.9996,1
0.0011,0
0.9139,1
0.8955,1
0.9066,1
0.0,0
0.9952,1
0.0036,0
0.0,0
0.095,0
0.9987,1
0.923,1
0.9997,1
0.9997,1
0.0003,0
0.9927,1
0.0001,0
0.0,0
0.0001,0
0.0,0
0.9647,1
0.0003,0
0.0001,0
0.9703,1
0.1067,0
0.0,0
0.9998,1
0.0712,0
0.0,0
0.9998,1
0.9976,1
0.8552,1
0.971,1
0.9982,1
0.0004,0
0.9965,1
0.993,1
0.0004,0
0.0029,0
0.0007,0
0.0004,0
0.8648,1
0.9965,1
0.0007,0
0.8169,1
0.0,0
0.9985,1
0.0002,0
0.9982,1
0.942,1
0.1458,0
0.1167,0
0.0004,0
