score,class
0.4748,0
0.4753,0
0.4753,1
0.4749,0
0.4753,0
0.4752,1
0.4752,1
0.4753,0
0.4752,1
0.4753,1
0.4748,1
0.4753,0
0.4752,1
0.4752,1
0.4753,0
0.4752,1
0.4749,0
0.4749,1
0.4749,1
0.4749,1
0.4748,0
0.4748,0
0.4752,1
0.4748,0
0.4753,0
0.4752,1
0.4753,0
0.4753,0
0.4753,1
0.4748,0
0.4749,0
0.4753,0
0.4753,0
0.4749,1
0.4753,0
0.4755,1
0.4753,0
0.4749,1
0.4749,1
0.4748,0
0.4752,1
0.4748,1
0.4749,1
0.4753,0
0.4753,0
0.4748,0
0.4752,1
0.4753,0
0.4749,0
0.4748,0
0.4748,1
0.4753,0
0.4752,1
0.4748,1
0.4748,1
0.4749,0
0.4752,1
0.4753,0
0.4748,1
0.4753,0
0.4748,1
0.4748,0
0.4752,1
0.4749,0
0.4753,0
0.4753,0
0.4753,0
0.4753,0
0.4753,0
0.4748,0
0.4752,1
0.4753,1
0.4753,0
0.4748,1
0.4749,0
0.4753,1
0.4753,0
0.4749,1
0.4753,0
0.4749,0
0.4748,0
0.4753,1
0.4749,0
0.4753,0
0.4748,0
0.4753,0
0.4749,1
0.4752,1
0.4749,1
0.4748,0
0.4748,0
0.4748,1
0.4753,1
0.4748,0
0.4753,0
0.4752,1
0.4748,0
0.4753,1
0.4749,0
0.4748,0
0.4749,0
0.4748,0
0.4753,1
0.4748,0
0.4753,1
0.4749,0
0.4753,1
0.4749,1
0.4752,1
0.4753,0
0.4748,1
0.4753,0
0.4752,1
0.4752,1
0.4753,0
0.4749,0
0.4753,0
0.4749,0
0.4752,1
0.4748,0
0.4749,0
0.4749,0
0.4752,1
0.4752,1
0.4753,0
0.4753,0
0.4749,1
0.4749,1
0.4749,1
0.4748,0
0.4749,1
0.4753,1
0.4753,0
0.4748,0
0.4748,0
0.4753,1
0.4749,1
0.4748,0
0.4753,1
0.4748,0
0.4748,0
0.4748,0
0.4753,0
0.4749,0
0.4749,1
0.4748,0
0.4753,0
0.4753,0
0.4749,1
0.4753,0
0.4749,1
0.4753,0
0.4753,0
0.4753,1
0.4753,0
0.4753,0
0.4753,1
0.4748,0
0.4748,1
0.4753,0
0.4752,1
0.4753,1
0.4753,0
0.4753,1
0.4755,1
0.4752,1
0.4753,0
0.4752,1
0.4748,0
0.4753,1
0.4749,0
0.4752,1
0.4748,1
0.4752,1
0.4753,0
0.4748,0
0.4753,0
0.4753,1
0.4752,1
0.4752,1
0.4753,0
0.4749,1
0.4753,1
0.4749,1
0.4749,0
0.4749,0
0.4753,1
0.4748,1
0.4748,1
0.4749,0
0.4749,1
0.4752,0
0.4753,0
0.4749,1
0.4749,0
0.4748,1
0.4752,1
0.4752,1
0.4753,0
0.4752,1
0.4749,0
0.4753,0
0.4753,1
0.4748,1
0.4752,1
0.4753,0
0.4752,1
0.4749,1
0.4753,0
0.4752,1
0.4748,0
0.4752,1
0.4752,1
0.4753,0
0.4748,1
0.4748,0
0.4752,1
0.4749,1
0.4748,0
0.4749,0
0.4748,1
0.4753,0
0.4753,1
0.4753,0
0.4748,0
0.4748,0
0.4753,1
0.4749,0
0.4753,0
0.4753,0
0.4752,1
0.4748,0
0.4748,0
0.4753,0
0.4749,1
0.475,0
0.4753,0
0.4748,1
0.4753,0
0.4753,1
0.4752,1
0.4749,1
0.4752,1
0.4749,0
0.4753,1
0.4753,0
0.4753,0
0.4753,0
0.4753,0
0.4749,0
0.4748,0
0.4752,1
0.4752,1
0.4753,1
0.4748,1
0.4753,0
0.4752,1
0.4753,0
0.4748,1
0.4749,1
0.4748,0
0.4749,1
0.4748,0
0.4753,1
0.4748,1
0.4752,1
0.4749,0
0.4748,0
0.4749,0
0.4753,0
0.4749,1
0.4752,0
0.4749,0
0.4753,0
0.4753,0
0.4748,0
0.4753,0
0.4753,1
0.4753,0
0.4752,1
0.4748,0
0.4753,0
0.4748,0
0.4753,0
0.4748,0
0.4749,0
0.4753,1
0.4753,0
0.4752,1
0.4749,1
0.4749,0
0.4752,1
0.4753,0
0.4749,0
0.4749,0
0.4753,0
0.4748,1
0.4749,1
0.4748,1
0.4748,1
0.4753,1
0.4752,1
0.4753,1
0.4748,0
0.4752,1
0.4753,1
0.4752,0
0.4752,1
0.4748,0
0.4748,1
0.4753,0
0.4749,1
0.4753,0
0.4749,0
0.4753,1
0.4753,0
0.475,1
0.4749,0
0.4753,0
0.4753,0
0.4753,0
0.4753,0
0.4748,0
0.4753,0
0.4753,0
0.475,0
0.4749,0
0.4752,0
0.4749,0
0.4753,0
0.4753,0
0.4753,0
0.4749,0
0.4749,0
0.4749,1
0.4752,1
0.4753,0
0.4749,0
0.4753,0
0.4753,0
0.4749,1
0.4753,0
0.4748,0
0.4753,1
0.4748,1
0.4749,0
0.4753,0
0.4748,0
0.4749,0
0.4749,0
0.4752,1
0.4753,0
0.4752,1
0.4753,1
0.4749,0
0.4749,1
0.4748,0
0.4749,0
0.4519,0
0.4519,0
0.4519,1
0.4519,1
0.452,1
0.4519,0
0.4519,1
0.452,0
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.452,1
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.4519,0
0.4519,1
0.4519,0
0.4519,1
0.4519,1
0.4519,0
0.452,1
0.452,1
0.4519,1
0.4519,0
0.4519,0
0.4519,0
0.4519,1
0.452,1
0.4519,1
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.4519,1
0.4519,0
0.4519,1
0.4519,1
0.452,0
0.4519,0
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.452,0
0.4519,0
0.4519,1
0.4519,1
0.4519,1
0.4519,0
0.4519,0
0.452,0
0.4519,0
0.4519,1
0.4519,0
0.4519,1
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.4519,1
0.4519,1
0.4519,0
0.4519,1
0.4519,1
0.4519,0
0.4519,0
0.4519,0
0.4519,1
0.452,1
0.4519,1
0.452,1
0.4519,1
0.4519,1
0.4519,0
0.4519,1
0.4519,1
0.4519,1
0.4519,0
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.4519,1
0.4519,0
0.452,1
0.4519,1
0.4519,0
0.4519,1
0.4519,1
0.4519,1
0.4519,0
0.4519,1
0.4519,0
0.452,1
0.4519,1
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.452,1
0.4519,0
0.4519,0
0.4519,1
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.4519,1
0.4519,1
0.4519,0
0.4519,1
0.4519,1
0.4519,0
0.4519,1
0.4519,0
0.4519,1
0.4519,0
0.4519,1
0.452,1
0.4519,1
0.452,0
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.4519,0
0.4519,1
0.452,0
0.4519,1
0.452,1
0.452,1
0.452,1
0.452,1
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.452,1
0.452,0
0.4519,0
0.452,0
0.4519,1
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.4519,1
0.452,1
0.4519,0
0.4519,1
0.4519,1
0.4519,1
0.4519,1
0.4519,1
0.4519,0
0.4519,0
0.452,1
0.4519,1
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.4519,1
0.4519,0
0.4519,1
0.4519,1
0.4519,1
0.4519,1
0.4519,0
0.452,1
0.4519,0
0.452,1
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.452,0
0.452,1
0.4519,0
0.4519,1
0.4519,0
0.4519,0
0.4519,0
0.4519,1
0.4519,1
0.4519,1
0.4519,1
0.4519,1
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.4519,0
0.4519,1
0.4519,1
0.4519,0
0.4519,0
0.4519,1
0.4519,1
0.4519,0
0.452,1
0.4519,1
0.4519,1
0.4519,1
0.4519,0
0.452,1
0.452,0
0.4519,0
0.4519,0
