score,class
0.0001,0
0.0255,0
0.0467,0
0.7087,0
0.8557,1
0.0124,0
0.1775,0
0.0043,0
0.8443,1
0.0085,0
0.9705,1
0.311,0
0.8565,1
0.9375,1
0.0098,0
0.0671,0
0.0083,0
0.0015,0
0.9322,1
0.0008,0
0.0338,0
0.8717,1
0.8357,1
0.8402,1
0.1903,0
0.8687,1
0.0001,0
0.9249,1
0.0024,0
0.0005,0
0.0473,0
0.0063,0
0.8557,1
0.1291,0
0.96,1
0.0848,0
0.535,0
0.8631,1
0.9219,1
0.9088,1
0.7928,1
0.8288,1
0.4291,0
0.3472,0
0.0256,0
0.0162,0
0.9739,1
0.0037,0
0.8227,1
0.2018,0
0.8517,0
0.0081,0
0.0122,0
0.9075,1
0.6341,1
0.0015,0
0.0002,0
0.9069,1
0.8883,1
0.0484,0
0.3068,1
0.8986,1
0.0956,0
0.4155,1
0.9595,1
0.5947,1
0.8573,1
0.0149,0
0.1319,1
0.0011,0
0.2788,0
0.076,0
0.9183,1
0.729,0
0.9668,1
0.2211,0
0.0446,0
0.7114,1
0.0074,0
0.9551,1
0.5583,0
0.894,1
0.9206,1
0.9558,1
0.5885,0
0.7237,0
0.3469,1
0.0286,0
0.2023,0
0.0063,0
0.7846,1
0.0013,0
0.0276,0
0.8099,1
0.1368,0
0.8807,1
0.0956,0
0.872,1
0.0027,0
0.0069,0
0.2251,0
0.8712,1
0.0011,0
0.0023,0
0.0075,0
0.0088,0
0.0021,0
0.2707,0
0.9522,1
0.8446,1
0.0345,0
0.0322,0
0.3874,1
0.718,1
0.0064,0
0.1106,1
0.045,0
0.8286,1
0.8008,1
0.0004,0
0.0351,0
0.9673,1
0.0806,0
0.9007,1
0.0093,0
0.0852,0
0.0011,0
0.0065,0
0.0019,0
0.9139,1
0.0059,0
0.0015,0
0.0025,0
0.0373,0
0.0287,0
0.0003,0
0.6221,1
0.4344,1
0.6838,0
0.9746,1
0.061,0
0.8823,1
0.8954,1
0.9085,1
0.9403,1
0.0128,0
0.5054,1
0.019,0
0.0696,0
0.2033,1
0.9434,1
0.0411,0
0.0005,0
0.9585,1
0.137,0
0.1744,0
0.0071,0
0.3787,0
0.5741,0
0.8693,1
0.9446,1
0.9552,1
0.0176,0
0.0543,0
0.9568,1
0.0014,0
0.0002,0
0.8761,1
0.0004,0
0.7497,0
0.6167,0
0.8939,1
0.9211,1
0.905,1
0.0098,0
0.8851,1
0.1153,0
0.0037,0
0.0026,0
0.9538,1
0.363,0
0.0459,0
0.0646,0
0.973,1
0.5006,1
0.8628,1
0.9652,1
0.1735,0
0.9387,1
0.9025,1
0.1877,1
0.0005,0
0.0098,0
0.0008,0
