score,class
0.4624,1
0.2699,0
0.4624,0
0.4992,0
0.4624,0
0.5001,1
0.7463,1
0.5373,1
0.4624,0
0.4624,0
0.4624,0
0.0308,0
0.4624,0
0.4624,1
0.8386,1
0.4624,0
0.5413,1
0.0422,0
0.4624,0
0.4624,1
0.7405,1
0.4624,0
0.5097,0
0.5367,0
0.6682,0
0.4624,1
0.0098,0
0.4624,1
0.4627,0
0.4624,0
0.4632,0
0.7033,1
0.6441,0
0.635,0
0.7264,1
0.5206,1
0.9346,1
0.0757,0
0.271,0
0.8096,1
0.4624,0
0.0376,0
0.4624,0
0.4624,0
0.4624,1
0.4654,1
0.0095,0
0.4624,1
0.4624,0
0.009,0
0.7039,1
0.0077,0
0.4624,1
0.4624,0
0.01,0
0.4624,1
0.4668,1
0.4652,0
0.481,0
0.4624,1
0.4624,0
0.4834,0
0.4624,1
0.4624,0
0.7747,1
0.0167,0
0.7189,1
0.429,1
0.7535,1
0.0677,0
0.8381,1
0.4624,0
0.0038,0
0.6242,0
0.1957,0
0.9254,1
0.4624,1
0.0591,0
0.0541,0
0.0871,0
0.6745,1
0.4624,0
0.0535,0
0.4624,1
0.8622,1
0.3951,1
0.5006,1
0.8628,1
0.4624,1
0.6594,1
0.4624,0
0.4624,0
0.6151,1
0.5399,0
0.4624,0
0.6439,0
0.5009,0
0.4624,1
0.8753,1
0.0039,0
0.4675,0
0.4624,0
0.7792,1
0.6378,1
0.6857,1
0.7555,1
0.0175,0
0.27,0
0.4624,0
0.5221,1
0.4624,1
0.4014,0
0.0228,0
0.4624,0
0.4624,0
0.4624,1
0.486,0
0.487,1
0.3409,0
0.4624,0
0.4624,1
0.4794,0
0.5379,1
0.516,0
0.4683,1
0.4624,1
0.5187,0
0.6057,1
0.4624,1
0.4624,0
0.4624,1
0.7837,1
0.7953,1
0.7032,1
0.8166,1
0.8227,1
0.4624,1
0.4924,0
0.7824,1
0.4836,0
0.5486,0
0.8512,1
0.4624,1
0.4857,0
0.4758,1
0.4624,1
0.5378,1
0.5223,1
0.4624,1
0.0275,0
0.4624,1
0.8566,1
0.5334,1
0.4984,1
0.5633,0
0.519,0
0.4624,1
0.4652,1
0.6342,1
0.4533,1
0.4624,0
0.4624,0
0.9439,1
0.4624,1
0.4624,0
0.0043,0
0.4624,0
0.4624,0
0.4624,0
0.5048,0
0.4624,0
0.51,1
0.7815,1
0.8449,1
0.7874,1
0.6202,1
0.7407,1
0.0057,0
0.4624,1
0.0107,0
0.4624,0
0.4624,1
0.6403,1
0.5081,0
0.4624,1
0.4624,1
0.3701,0
0.5495,1
0.4624,1
0.5523,0
0.5119,1
0.7238,1
0.52,0
0.7423,1
0.4624,0
0.5777,0
0.5214,1
0.4624,0
0.4624,0
0.5315,1
0.4627,0
0.5294,0
0.4624,0
0.5173,0
0.4624,0
0.4624,1
0.4627,1
0.014,0
0.4624,0
0.4635,1
0.4624,0
0.0142,0
0.0206,0
0.9156,1
0.4624,0
0.4624,0
0.4973,1
0.4624,0
0.7722,1
0.5313,1
0.7506,0
0.0467,0
0.4624,0
0.4799,0
0.1351,0
0.0023,0
0.4624,1
0.4624,0
0.1921,0
0.7705,0
0.5051,0
0.4624,1
0.886,1
0.7352,1
0.554,1
0.8134,1
0.0082,0
0.1023,0
0.4877,0
0.8407,1
0.6871,1
0.0485,0
0.0448,0
0.0142,0
0.9092,1
0.9464,1
0.568,1
0.8848,1
0.4624,0
0.8541,1
0.4624,1
0.4624,0
0.7839,0
0.5159,1
0.4624,1
0.4642,0
0.0205,0
0.4624,1
0.5276,0
0.8297,1
0.4624,1
0.8973,1
0.4624,1
0.4624,0
0.4624,0
0.4624,1
0.4627,0
0.4805,1
0.4624,1
0.0223,0
0.4624,1
0.0544,0
0.0111,0
0.4631,1
0.4624,0
0.4664,1
0.4624,0
0.4624,0
0.8502,1
0.5099,0
0.4624,0
0.0609,0
0.4624,0
0.4624,1
0.3562,0
0.5901,1
0.0147,0
0.4995,1
0.4624,0
0.7545,1
0.656,0
0.4624,0
0.7094,1
0.2002,1
0.7834,1
0.5083,1
0.4624,0
0.4624,0
0.4624,0
0.5649,0
0.4624,0
0.9165,0
0.4624,1
0.4624,1
0.4624,0
0.4624,0
0.4624,1
0.0476,0
0.4624,1
0.1608,0
0.076,0
0.1545,0
0.4624,0
0.4624,0
0.4624,0
0.4624,0
0.4936,1
0.4624,1
0.5382,1
0.0239,0
0.4624,0
0.4624,0
0.7958,1
0.4624,0
0.5377,1
0.4624,0
0.5706,0
0.4624,0
0.4624,0
0.7639,1
0.5002,1
0.5029,1
0.1117,0
0.5308,1
0.8673,1
0.501,1
0.4624,0
0.4624,1
0.0339,0
0.4624,0
0.402,1
0.4624,0
0.5298,0
0.7752,1
0.4624,1
0.4624,0
0.4624,1
0.4624,0
0.0629,0
0.6791,1
0.4624,0
0.7051,1
0.4624,0
0.4624,0
0.0068,0
0.7318,1
0.4624,0
0.0116,0
0.6607,1
0.4624,0
0.4624,0
0.8623,1
0.7817,1
0.4624,1
0.5429,0
0.4942,0
0.5052,0
0.501,0
0.0056,0
0.9204,1
0.8241,1
0.4885,1
0.4624,0
0.8656,1
0.4624,0
0.8651,1
0.6141,1
