score,class
0.1507,0
0.6578,0
0.5338,1
0.9562,1
0.2799,1
0.102,0
0.9885,1
0.1078,0
0.0911,0
0.0545,0
0.9929,1
0.0564,0
0.0518,0
0.8062,1
0.0621,0
0.956,1
0.1755,0
0.2079,0
0.7791,1
0.0944,0
0.3842,1
0.132,0
0.0665,0
0.1393,0
0.0597,0
0.0588,0
0.2212,0
0.0581,0
0.0853,0
0.0477,0
0.0612,0
0.0597,0
0.672,1
0.0503,0
0.5167,1
0.9903,1
0.2846,0
0.089,0
0.0501,0
0.0654,0
0.1274,0
0.3639,0
0.1041,0
0.3297,0
0.1647,1
0.4018,0
0.9463,1
0.3433,0
0.0661,0
0.9862,1
0.0706,0
0.1544,0
0.0908,0
0.0689,0
0.6231,1
0.3211,0
0.0527,0
0.1334,1
0.0657,0
0.2015,0
0.0513,0
0.0621,0
0.1417,0
0.5832,1
0.1007,0
0.0861,0
0.2182,0
0.4795,1
0.9937,1
0.8998,1
0.8845,1
0.0691,0
0.0766,0
0.0698,0
0.0599,0
0.052,0
0.1014,0
0.7294,1
0.1056,0
0.3503,0
0.3922,1
0.7351,1
0.127,0
0.7851,0
0.5222,1
0.0558,0
0.0668,0
0.0505,0
0.0548,0
0.9002,1
0.6556,1
0.981,1
0.8761,1
0.9471,1
0.6919,1
0.4336,0
0.0604,0
0.0653,1
0.0934,0
0.4235,0
0.1065,0
0.0687,0
0.9615,1
0.9911,1
0.9654,1
0.6914,1
0.05,0
0.6185,1
0.064,1
0.2677,0
0.0959,0
0.3743,1
0.0814,1
0.0503,0
0.0528,0
0.1903,1
0.0512,0
0.2831,0
0.0512,0
0.9835,1
0.0797,0
0.9819,1
0.1945,1
0.154,0
0.0527,0
0.1604,0
0.5816,1
0.0673,0
0.1919,0
0.1495,0
0.0857,0
0.0692,1
0.1242,0
0.906,1
0.291,1
0.5,1
0.9936,1
0.9594,1
0.1689,1
0.0513,0
0.0676,0
0.0519,0
0.9894,1
0.2046,1
0.2133,1
0.2751,0
0.1123,0
0.09,0
0.5167,1
0.1637,1
0.9571,1
0.0953,0
0.1887,0
0.8523,1
0.6957,1
0.109,0
0.0487,0
0.9661,1
0.2806,0
0.7772,1
0.4885,0
0.9325,1
0.9967,1
0.9947,1
0.8104,1
0.1873,1
0.0502,0
0.9591,1
0.4963,0
0.0692,0
0.9924,1
0.9971,1
0.0967,1
0.0863,0
0.9869,1
0.7378,1
0.0505,0
0.2702,0
0.0729,1
0.3021,1
0.316,1
0.3055,1
0.1045,1
0.1592,0
0.5633,1
0.0562,0
0.4797,1
0.2362,0
0.0515,0
0.1642,1
0.0717,0
0.9898,1
0.0485,0
0.8866,1
0.1736,1
0.2374,0
0.0477,0
0.0482,0
0.057,0
0.076,0
0.2218,0
0.8677,1
0.21,0
0.1717,0
0.0816,0
0.0573,0
0.8444,1
0.8214,1
0.6598,1
0.9855,1
0.9077,1
0.1951,0
0.3388,1
0.0501,0
0.5172,1
0.0556,0
0.9902,1
0.3577,0
0.0516,0
0.5577,1
0.2364,0
0.4118,1
0.8399,1
0.1602,0
0.4404,1
0.6431,1
0.0639,0
0.2042,1
0.0933,0
0.3589,1
0.9959,1
0.0879,0
0.083,0
0.078,0
0.0548,0
0.7754,1
0.3304,1
0.6183,1
0.0818,0
0.6292,0
0.0725,0
0.211,1
0.3945,1
0.0502,0
0.1966,0
0.0638,0
0.0666,0
0.7733,1
0.9774,1
0.0537,0
0.9891,1
0.0744,0
0.5066,1
0.1566,0
0.2624,0
0.9919,1
0.0502,0
0.7535,1
0.3133,0
0.9988,1
0.0603,0
0.3287,1
0.9818,1
0.057,0
0.685,1
0.4479,1
0.9311,1
0.0477,0
0.1081,0
0.185,0
0.9727,1
0.1522,0
0.0669,0
0.9452,1
0.3437,0
0.1475,0
0.5099,1
0.0662,0
0.7689,1
0.0582,0
0.8873,1
0.9742,1
0.9678,1
0.2139,0
0.927,1
0.0513,0
0.0971,0
0.1465,0
0.0508,0
0.3136,1
0.051,0
0.0687,0
0.1551,0
0.2352,1
0.9414,1
0.7491,1
0.4955,0
0.0686,0
0.3916,0
0.2218,0
0.2198,0
0.0992,0
0.1451,0
0.1961,0
0.2747,0
0.2268,0
0.9887,1
0.0497,0
0.0506,0
0.5158,1
0.0784,0
0.3225,0
0.0473,0
0.117,0
0.0584,0
0.9946,1
0.0995,1
0.2442,1
0.0547,0
0.1335,0
0.8848,1
0.1214,0
0.9258,1
0.8678,1
0.7143,1
0.0817,0
0.05,0
0.6969,1
0.9254,1
0.1876,1
0.9772,1
0.5201,0
0.9632,1
0.066,0
0.1719,0
0.6831,1
0.0556,0
0.5821,1
