score,class
0.3477,0
0.4686,0
0.5639,1
1.0,0
0.3665,1
0.2555,0
0.5408,1
0.4195,0
0.2633,0
0.428,0
0.4504,0
0.436,0
0.2645,1
0.3827,0
1.0,0
0.5602,1
0.4465,0
1.0,0
0.2715,0
0.2816,0
0.4433,1
0.4412,1
0.3284,1
0.2733,0
0.5208,0
0.7656,1
0.285,0
0.7259,1
0.4188,0
0.2523,0
0.3592,1
0.3672,1
0.4396,1
0.32,1
0.5603,1
1.0,0
0.2592,0
0.6974,1
0.332,1
0.4275,0
0.4254,1
0.4388,1
0.5504,1
0.2699,0
0.3228,1
0.4031,0
0.2803,0
0.324,1
0.5594,1
0.4388,1
0.4747,0
0.7701,1
0.567,1
0.2627,0
0.3743,1
0.5531,1
0.5223,0
0.3862,0
0.4207,0
0.4208,0
0.3763,1
0.4492,0
0.3608,0
0.3576,1
0.5684,1
0.3637,0
0.5512,1
0.2642,0
0.2722,0
0.3279,1
0.4547,0
0.5638,1
0.4367,1
0.4284,0
0.3628,1
0.3095,1
0.4269,0
0.5163,0
0.9571,1
0.5665,1
0.2601,0
0.3428,1
0.4601,0
0.3263,1
0.389,0
0.4189,0
0.4421,1
0.2615,0
0.4282,1
0.4213,0
0.4214,0
0.312,1
0.2526,0
0.4174,0
0.7588,1
0.3283,0
0.3887,0
1.0,0
0.3803,0
0.3674,1
0.5664,1
0.403,0
0.7675,1
0.3951,0
0.2789,0
0.5227,0
0.5658,1
0.566,1
0.3731,0
0.3825,0
0.3563,1
1.0,0
0.3403,1
0.5471,1
0.3247,1
0.4998,0
0.4409,0
0.3293,1
0.3855,0
0.3121,1
0.5566,1
0.2626,0
0.4548,0
0.3184,1
0.2721,0
0.2777,0
0.2782,0
0.5307,1
0.2582,1
0.5571,1
0.2639,0
1.0,0
0.2708,0
0.374,0
0.4267,0
0.2663,1
0.3931,0
0.4289,0
0.4404,1
0.4223,0
0.565,1
0.2531,0
0.48,0
0.4046,0
1.0,0
0.3241,1
0.3944,0
0.3328,1
1.0,0
0.2882,0
0.273,0
0.5253,0
0.2791,0
0.4074,0
0.419,0
0.2791,0
0.3741,1
0.3326,1
0.3136,1
0.4033,0
0.4087,0
0.2639,0
0.5556,1
0.3926,0
1.0,0
0.5267,0
0.362,1
0.4421,0
0.5046,0
0.431,1
0.2544,0
0.4409,1
1.0,0
0.3575,0
0.3853,0
0.3869,0
0.4061,0
0.3378,1
0.3979,0
0.3654,0
0.7669,1
0.5311,0
0.3765,0
0.393,0
0.4198,0
0.3413,0
0.3613,1
0.5649,1
0.4986,0
0.5634,1
0.4296,0
0.5268,0
0.7663,1
0.2766,0
0.3937,0
0.4662,0
0.2639,1
0.2576,1
0.3993,0
0.5606,1
0.3758,0
0.3905,0
0.4642,0
0.3977,0
0.4202,0
0.4009,0
0.4244,0
0.5671,1
0.4122,0
0.3778,0
0.2761,0
0.4195,1
0.3911,0
0.381,0
0.3996,0
0.6894,1
0.4426,0
0.4683,0
0.4222,0
0.439,0
0.711,1
0.5582,1
0.3405,1
0.398,0
0.3938,0
0.5105,0
0.4461,1
0.454,0
0.2559,1
0.2612,0
1.0,0
0.3939,0
0.5589,1
0.3673,1
0.2708,0
0.4368,0
0.273,0
0.5027,0
0.2561,0
0.2735,0
0.5636,1
0.272,0
0.3411,0
1.0,0
0.2516,1
0.3592,0
0.3048,1
0.2635,0
0.4135,0
0.2613,0
0.2564,0
0.2594,0
0.2651,0
0.5598,1
0.763,1
0.253,1
0.2582,1
0.2752,0
0.5403,1
0.2578,1
0.5623,1
0.7582,1
0.2524,1
0.2611,1
0.2638,0
0.765,1
0.2745,0
0.2516,0
0.3543,1
0.3361,1
0.4128,0
1.0,0
0.5617,1
1.0,1
0.2533,0
0.384,0
1.0,0
0.7709,1
0.7693,1
0.2575,0
0.7631,1
0.5652,1
0.3098,1
0.7413,1
0.319,0
0.5251,0
0.3199,1
0.2724,0
0.3053,0
0.5532,1
0.2841,0
0.533,1
0.3744,1
0.7683,1
0.2613,0
0.5438,1
0.3913,0
0.5601,1
0.5422,0
0.5602,1
1.0,1
0.3873,0
0.4114,0
0.26,0
0.5453,1
0.5521,1
0.2636,0
0.2788,0
0.3124,1
0.3203,1
0.4526,0
0.4185,0
0.2786,0
1.0,0
0.2786,0
0.7573,1
0.4564,0
0.2599,1
0.2604,1
1.0,0
0.2697,0
0.2527,0
0.2589,0
0.2563,1
0.4272,0
0.4187,0
1.0,0
0.5749,1
0.3851,0
0.7643,1
0.7656,1
0.2716,0
0.2687,0
0.3207,1
0.4312,1
0.4279,0
0.2719,0
0.4464,0
0.4231,0
0.2552,0
0.7676,1
0.2756,0
0.5447,1
0.3146,1
0.3943,0
0.2999,1
0.2708,0
0.4156,0
0.7571,1
0.422,0
0.3946,0
1.0,0
0.5193,0
0.7683,1
0.4402,1
0.5572,1
0.3434,0
1.0,0
0.3727,0
0.5173,0
0.4212,0
0.5553,1
0.3164,1
0.4138,0
0.4257,0
0.4027,0
0.3105,1
0.3046,0
0.4263,0
0.424,0
0.5241,0
0.3933,0
0.7689,1
0.7626,1
0.2637,0
0.2674,0
0.4191,0
0.423,1
0.2521,1
0.3508,0
0.4593,0
0.421,0
0.999,0
0.9045,1
0.3673,0
0.7523,1
0.7611,1
0.4468,0
0.3828,0
0.4506,0
0.3213,1
0.5685,1
0.2689,0
0.3934,0
0.2544,0
0.2914,0
0.394,0
0.3274,1
1.0,0
0.3871,0
0.5646,1
0.3635,0
0.428,0
0.419,0
0.5675,1
0.5283,1
0.3964,0
0.2544,1
0.3753,0
0.4145,0
0.4154,0
0.3798,0
0.2753,0
0.3908,0
0.7697,1
0.3091,1
0.3871,0
0.5501,1
0.2726,0
0.257,0
0.2735,1
0.2622,0
0.4476,0
0.3638,0
0.279,0
0.3029,1
0.3985,0
0.5429,0
0.4253,0
0.4266,0
0.356,0
0.4239,0
0.2916,0
0.2747,0
0.3375,1
0.4069,0
1.0,0
0.2575,0
0.5429,1
0.3377,0
0.4558,0
0.555,1
0.4345,0
0.5383,1
0.762,1
0.26,0
0.7462,1
0.5533,1
0.5642,1
0.5613,1
0.3587,0
0.4415,0
0.3163,1
1.0,0
0.5732,1
0.2578,0
0.3169,1
0.2524,0
0.3884,0
0.4161,0
0.2795,0
0.546,1
0.3802,0
0.2765,0
0.5467,1
0.5516,1
0.427,0
1.0,1
0.551,1
0.7727,1
0.4046,0
0.3916,0
0.4591,0
1.0,0
1.0,0
0.4119,0
0.3174,1
0.4352,1
0.4236,0
0.2553,1
0.3616,1
0.4016,0
0.2792,0
0.4092,0
0.3356,1
0.2538,1
0.4188,0
0.3226,1
0.4075,0
0.3374,1
0.3225,1
0.3622,0
0.7648,1
0.2624,1
0.7688,1
0.3863,0
0.3037,0
0.2636,0
1.0,0
0.3755,0
0.3798,0
0.5622,1
0.9529,1
0.3575,1
0.3969,0
0.4275,0
0.2915,1
0.2632,0
0.4035,0
0.4143,0
0.5485,1
0.5591,1
0.4038,1
0.5084,0
0.3833,0
1.0,0
0.264,0
0.5514,1
0.2645,0
0.3887,0
0.3779,1
0.2612,0
0.4941,0
0.2616,0
0.3915,0
0.5514,1
0.5596,1
0.3085,1
0.3842,1
0.7671,1
0.3877,0
0.3178,1
0.7637,1
0.3742,1
0.2607,0
0.3835,1
0.3805,1
0.3826,0
