score,class
0.4031,1
0.4012,1
0.4022,1
0.4017,0
0.4016,0
0.4007,1
0.4012,1
0.4019,1
0.4018,1
0.4027,0
0.4019,1
0.4017,0
0.4016,0
0.4013,0
0.4015,0
0.4014,1
0.4013,0
0.4012,1
0.4014,0
0.4014,1
0.4022,0
0.4005,0
0.4018,0
0.4013,0
0.4017,0
0.4014,1
0.4015,0
0.4017,0
0.4014,0
0.4014,1
0.4019,1
0.4019,1
0.4005,0
0.4019,0
0.4013,0
0.4014,0
0.4031,1
0.4023,0
0.4021,0
0.4014,1
0.4013,0
0.4019,1
0.4005,0
0.4025,0
0.4027,0
0.4014,1
0.4025,0
0.4015,0
0.4023,0
0.4027,0
0.4023,0
0.4018,1
0.4023,0
0.4016,0
0.4014,0
0.4018,0
0.4005,0
0.4031,1
0.4021,0
0.4005,0
0.4027,0
0.4022,0
0.4018,1
0.4017,0
0.4027,0
0.4012,1
0.4012,1
0.4025,0
0.4027,0
0.4019,1
0.4025,0
0.4031,1
0.4025,0
0.4012,1
0.4014,1
0.4012,1
0.4014,1
0.4014,0
0.4014,1
0.4012,1
0.4031,1
0.4027,0
0.4017,0
0.4017,0
0.4031,1
0.4031,1
0.4019,0
0.4005,0
0.4014,1
0.4031,1
0.4019,1
0.4017,0
0.4023,0
0.4021,0
0.4017,0
0.4015,0
0.4016,0
0.4013,0
0.4019,1
0.4023,0
0.4025,0
0.4025,0
0.4031,1
0.4017,0
0.4014,0
0.4022,1
0.4017,0
0.4005,0
0.4027,0
0.4025,0
0.4017,0
0.4022,0
0.4013,0
0.4015,1
0.4013,0
0.4016,0
0.4025,0
0.4022,1
0.402,1
0.4014,1
0.4025,0
0.4014,1
0.4016,0
0.4013,0
0.4018,1
0.4017,0
0.4023,0
0.4015,0
0.4021,0
0.4019,1
0.4027,0
0.4025,0
0.4014,0
0.4018,0
0.4019,1
0.4031,1
0.4005,0
0.4019,1
0.4012,1
0.4027,0
0.4019,1
0.4014,0
0.4018,1
0.4013,0
0.4027,0
0.4013,0
0.4014,1
0.4027,0
0.4025,0
0.4014,1
0.4016,0
0.4017,0
0.4006,0
0.4017,0
0.4012,0
0.4018,1
0.4016,0
0.4027,0
0.4023,0
0.4015,1
0.402,0
0.4017,0
0.4016,0
0.4031,1
0.4022,0
0.4022,1
0.4016,0
0.4016,0
0.4023,0
0.4013,0
0.4027,0
0.4021,0
0.4027,0
0.4021,0
0.4025,0
0.4013,0
0.4014,1
0.4015,0
0.4027,0
0.4022,1
0.4018,1
0.4025,0
0.4014,1
0.4005,0
0.4019,0
0.4019,1
0.4025,0
0.4018,0
0.4013,0
0.4012,1
0.4018,0
0.4022,1
0.4015,0
0.4027,0
0.4019,1
0.4014,1
0.4015,0
0.4023,0
0.4022,0
0.4005,0
0.4021,0
0.402,1
0.4015,0
0.4022,0
0.4014,1
0.4013,0
0.4018,0
0.4014,1
0.4014,1
0.4017,0
0.4014,1
0.402,0
0.4016,0
0.4019,1
0.402,1
0.4014,1
0.4017,0
0.4014,0
0.4015,0
0.4018,0
0.4027,0
0.4015,0
0.4012,1
0.4019,1
0.4015,1
0.4022,0
0.4027,0
0.4021,0
0.4005,0
0.4006,1
0.4012,1
0.4027,0
0.4019,0
0.4031,1
0.4015,0
0.4013,0
0.4005,0
0.4012,1
0.4027,0
0.4021,0
0.4013,0
0.4031,1
0.4015,1
0.4015,0
0.4014,1
0.4019,1
0.4016,0
0.4019,1
0.4016,0
0.4014,1
0.4013,0
0.4027,0
0.4017,0
0.4018,0
0.4021,0
0.4021,0
0.4012,1
0.4014,0
0.4005,0
0.4015,0
0.4013,0
0.4027,0
0.4014,1
0.4023,0
0.4015,0
0.4021,1
0.4019,0
0.4005,0
0.4013,0
0.4014,0
0.4022,1
0.4018,1
0.4018,0
0.4023,0
0.4023,0
0.4016,0
0.4013,0
0.4023,0
0.4031,1
0.4016,0
0.4014,0
0.4012,1
0.4015,0
0.4013,0
0.4023,0
0.4016,0
0.4005,0
0.4017,0
0.4022,1
0.4014,1
0.4018,1
0.4025,0
0.4022,0
0.4019,1
0.402,1
0.4013,0
0.4031,1
0.4014,1
0.4027,0
0.4023,0
0.4031,1
0.4014,0
0.4013,0
0.4021,0
0.4016,0
0.4012,1
0.4023,0
0.4031,1
0.4031,1
0.4025,0
0.4017,0
0.4031,1
0.4013,0
0.4014,1
0.4015,0
0.4031,1
0.402,1
0.4012,1
0.4031,1
0.4015,0
0.4025,0
0.4022,1
0.4019,0
0.4014,1
0.4019,1
0.4031,1
0.4018,1
0.4019,1
0.4031,1
0.4015,1
0.4015,0
0.4019,1
0.4023,0
0.4012,1
0.4014,0
0.4019,1
0.4019,1
0.4006,1
0.4014,1
0.4021,0
0.4014,1
0.4014,1
0.4031,1
0.4007,1
0.4018,0
0.4014,0
0.4013,1
0.4025,0
0.4012,1
0.4013,0
0.4018,0
0.4016,0
0.4012,1
0.4027,0
0.4015,0
0.4018,0
0.4005,0
0.4023,0
0.4018,0
0.402,1
0.4027,0
0.4027,0
0.4017,0
0.4031,1
0.4031,1
0.4013,0
0.4014,1
0.4023,0
0.4019,1
0.4014,1
0.4005,0
0.4018,1
0.4025,0
0.4022,1
0.4013,0
0.4015,0
0.4014,0
0.4022,0
0.4014,1
0.4027,0
0.4014,1
0.4015,1
0.4017,0
0.4016,0
0.4013,0
0.4025,0
0.4015,0
0.4005,0
0.4018,1
0.4019,1
0.4018,0
0.4018,0
0.4015,0
0.4018,0
0.4005,0
0.4012,1
0.4014,0
0.4023,0
0.4025,0
0.4012,1
0.4012,1
0.4027,0
0.4031,1
0.4027,0
0.4023,0
0.4031,1
0.4018,1
0.4015,0
0.4012,1
0.4022,1
0.4022,0
0.4015,0
0.4015,0
0.4019,1
0.4023,0
0.4019,1
0.4023,0
0.4005,0
0.4023,0
0.4031,1
0.4019,1
0.4031,1
0.4005,0
0.4016,0
0.4031,1
0.4015,0
0.4007,1
0.4017,0
0.4017,0
0.4018,0
0.4014,1
0.4014,1
0.4005,0
0.4012,1
0.4014,1
0.4031,1
0.4014,1
0.402,0
0.4017,0
0.4014,1
0.4021,1
0.4015,1
0.4019,1
0.4019,1
0.4015,0
0.4012,1
0.4019,1
0.4014,1
0.4016,0
0.4016,0
0.4015,0
0.4027,0
0.4025,0
0.4012,1
0.4025,0
0.4025,0
0.4012,1
0.4023,0
0.4016,0
0.4005,0
0.4018,0
0.4027,0
0.4016,0
0.4015,1
0.4031,1
0.4013,0
0.4006,1
0.4016,0
0.4025,0
0.4018,1
0.4027,0
0.4015,0
0.402,1
0.4013,0
0.4014,1
0.4012,1
0.4031,1
0.4012,1
0.4022,0
0.4023,0
0.4019,1
0.402,1
0.4018,1
0.4016,0
0.4022,0
0.4027,0
0.4013,0
0.4025,0
0.4012,0
0.4019,1
0.4025,0
0.4015,1
0.4019,1
0.4025,0
0.4016,0
0.4025,0
0.4014,1
0.4012,1
0.4015,0
0.4014,1
0.4005,0
0.4016,0
0.4031,1
0.4023,0
0.4025,0
0.4016,0
0.4031,1
0.4025,0
0.4012,1
0.4017,0
0.4027,0
0.4014,1
0.4023,0
0.4014,0
0.4027,0
0.4025,0
0.4015,0
0.4014,0
0.4018,1
0.4018,0
0.4019,1
0.4015,0
0.4031,1
0.4013,0
0.4027,0
0.4014,1
0.4015,0
0.4031,1
0.4025,0
0.4019,0
0.4012,1
0.4015,0
0.4022,1
0.402,1
0.4015,0
0.4012,1
0.4018,1
0.4022,0
0.4017,0
0.4015,1
0.4027,0
0.4019,1
0.4019,1
0.4019,1
0.4005,0
0.4018,0
0.4013,0
0.4025,0
0.402,0
0.4015,0
0.402,1
0.4015,1
0.4014,1
0.4031,1
0.4019,1
0.4014,1
0.4017,0
0.4021,0
0.4005,0
0.4022,0
0.4025,0
0.4027,0
0.4025,0
0.4018,0
0.4018,0
0.4013,0
0.4013,0
0.4025,0
0.4014,0
0.4005,0
0.4027,0
0.4007,1
0.4023,0
0.402,1
0.4022,0
0.4023,0
0.4022,1
0.4021,1
0.4015,0
0.4015,0
0.4027,0
0.4012,1
0.4014,1
0.4019,1
0.4027,0
0.4025,0
0.4012,1
0.4013,0
0.4014,0
0.4019,0
0.4025,0
0.4013,0
0.4017,0
0.4016,0
0.4031,1
0.402,1
0.4025,0
0.4005,0
0.4016,0
0.4031,1
0.4022,0
0.4031,1
0.4027,0
0.4005,0
0.4014,0
0.4022,1
0.4005,0
0.4014,1
0.4014,0
0.402,1
0.4027,0
0.4005,0
0.402,1
0.4031,1
0.4015,0
0.4025,0
0.4014,1
0.4019,1
0.4012,1
0.4018,0
0.4022,1
0.4031,1
0.4027,0
0.4013,0
0.4005,0
0.4018,0
0.4022,1
0.4022,1
0.4021,0
0.4023,0
0.4031,1
0.4031,1
0.4017,0
0.4016,0
0.4018,1
0.4018,0
0.4005,0
0.4014,1
0.4027,0
0.4023,0
0.4031,1
0.4018,1
0.4015,0
0.4015,0
0.4025,0
0.4014,1
0.4014,1
0.402,1
0.4012,1
0.4019,1
0.4032,1
0.4018,1
0.4019,0
0.4015,1
0.4018,1
0.4015,0
0.4025,0
0.4022,0
0.4025,0
0.4025,0
0.4018,1
0.4023,0
0.4027,0
0.4012,1
0.4014,1
0.4015,0
0.4005,0
0.4019,1
0.4014,0
0.4021,0
0.4017,0
0.4018,0
0.4017,0
0.4021,1
0.4013,0
0.4015,0
0.4019,1
0.4018,1
0.4022,1
0.4025,0
0.4018,0
0.4012,1
0.4014,0
0.4027,0
0.4015,1
0.4014,1
0.4019,1
0.402,1
0.4025,0
0.4031,1
0.4021,0
0.4025,0
0.4027,0
0.4021,0
0.4013,0
0.4014,0
0.4022,1
0.4022,1
0.4015,0
0.4014,1
0.4027,0
0.402,0
0.4012,1
0.4022,1
0.4022,1
0.4027,0
0.4005,0
0.4023,0
0.4027,0
0.4021,0
0.4019,0
0.4025,0
0.4012,1
0.4013,0
0.402,1
0.4015,0
0.4012,1
0.4017,0
0.4027,0
0.4025,0
0.4014,1
0.4005,0
0.4015,1
0.4014,0
0.4021,0
0.402,1
0.4022,1
0.4021,0
0.4019,1
0.4031,1
0.4022,1
0.4014,1
0.4015,0
0.4021,0
0.4014,1
0.4014,1
0.4025,0
0.4016,0
0.4022,1
0.4013,0
0.4025,0
0.4018,1
0.4031,1
0.4018,1
0.4062,0
0.4064,1
0.4062,0
0.4062,0
0.4066,0
0.4065,0
0.4067,1
0.4066,0
0.4067,1
0.4065,0
0.4067,1
0.4067,1
0.4066,0
0.4061,1
0.4064,0
0.4063,1
0.4064,1
0.4064,0
0.4065,1
0.4061,1
0.4065,0
0.4064,1
0.4066,0
0.4062,0
0.4061,0
0.4067,0
0.4061,0
0.4066,0
0.4067,0
0.4067,0
0.4062,0
0.4064,1
0.4067,0
0.4065,0
0.4067,1
0.4064,1
0.4067,0
0.4066,0
0.4061,1
0.4062,0
0.4062,0
0.4061,1
0.4067,0
0.4067,1
0.4063,1
0.4063,0
0.4062,0
0.4063,0
0.4066,0
0.4065,0
0.4067,0
0.4067,1
0.4066,0
0.4067,0
0.4065,0
0.4061,0
0.4064,1
0.4062,0
0.4069,1
0.4065,0
0.4067,1
0.4069,0
0.4062,0
0.4061,1
0.4061,1
0.4065,0
0.4065,0
0.4069,0
0.4066,0
0.4067,1
0.4063,1
0.4065,0
0.4062,0
0.4061,1
0.4069,0
0.4061,1
0.4062,0
0.4065,0
0.4064,0
0.4066,1
0.4066,0
0.4063,0
0.4068,1
0.4065,0
0.4062,0
0.4061,1
0.4062,0
0.4064,0
0.4067,1
0.4066,0
0.4063,0
0.4067,0
0.4061,1
