score,class
0.4993,0
0.0023,0
0.2941,0
0.246,0
0.0,0
0.3652,1
0.5266,1
0.3479,0
0.2861,0
0.1203,0
0.5196,0
0.0,0
0.1494,0
0.7191,1
0.1422,0
0.4038,0
0.2023,0
0.0,0
0.6296,1
0.2632,1
0.3298,0
0.2018,0
0.4687,0
0.205,0
0.4566,0
0.0006,0
0.1335,0
0.0406,0
0.5543,1
0.2801,0
0.3163,0
0.2031,0
0.6225,0
0.1974,0
0.2108,0
0.2047,0
0.451,1
0.0,0
0.3857,1
0.0259,0
0.0752,0
0.2016,0
0.0865,0
0.0124,0
0.1161,0
0.0,0
0.0653,1
0.1755,0
0.4105,0
0.2291,0
0.4138,0
0.3393,0
0.4153,0
0.2093,0
0.0912,0
0.1244,0
0.281,0
0.0754,0
0.0532,0
0.1968,0
0.0911,0
0.093,0
0.0,0
0.293,0
0.4194,0
0.133,0
0.2549,0
0.0453,0
0.5168,0
0.1992,0
0.1151,0
0.0123,0
0.4826,0
0.356,0
0.5309,0
0.0,0
0.0741,0
0.1016,0
0.1647,0
0.3258,0
0.4263,1
0.512,0
0.1201,0
0.3521,1
0.1829,0
0.2794,0
0.254,0
0.3934,1
0.5955,1
0.1398,0
0.0,0
0.1286,0
0.2744,0
0.0902,0
0.2943,0
0.1216,0
0.4146,0
0.2342,1
0.1345,0
0.1405,0
0.6551,1
0.2992,0
0.5247,1
0.3229,0
0.5138,1
0.1737,0
0.2314,0
0.3923,1
0.1781,0
0.5739,0
0.4098,1
0.4856,0
0.4499,0
0.0,0
0.6457,1
0.3341,0
0.4447,0
0.1581,0
0.3688,0
0.0,0
0.181,0
0.0,0
0.2998,0
0.0714,0
0.4124,0
0.0,0
0.0934,0
0.1519,0
0.1752,0
0.0,0
0.2625,0
0.0004,0
0.0364,0
0.5756,0
0.0,0
0.1322,0
0.4588,0
0.3773,1
0.0,0
0.0,0
0.5291,1
0.5414,1
0.4111,0
0.0,0
0.0611,0
0.1493,0
0.1911,0
0.4637,1
0.0,0
0.0,0
0.0,0
0.0183,0
0.3278,0
0.0,0
0.4796,0
0.1752,0
0.5409,0
0.1203,0
0.24,0
0.4562,0
0.2017,0
0.0008,0
0.0,0
0.1166,0
0.2781,0
0.4392,0
0.3127,0
0.007,0
0.0301,0
0.6967,1
0.0518,0
0.4094,0
0.1453,0
0.0,0
0.3952,1
0.1354,0
0.0,0
0.2407,1
0.4428,0
0.2408,0
0.509,0
0.0,0
0.2158,0
0.0412,0
0.1609,0
0.5139,0
0.0643,0
0.4091,1
0.544,0
0.0,0
0.446,0
0.0,0
0.2112,0
0.1793,0
0.4842,0
0.0,0
0.0,0
0.604,0
0.5231,1
0.0001,0
0.247,0
0.6299,1
0.3925,1
0.418,1
0.1393,0
0.0443,0
0.5575,1
0.0,0
0.1176,0
0.1168,0
0.0035,0
0.0,0
0.0,0
0.0006,0
0.1654,0
0.2475,1
0.153,1
0.1042,0
0.2153,0
0.0043,0
0.0998,1
0.3586,0
0.3549,0
0.098,0
0.1057,0
0.0,0
0.2207,0
0.2453,1
0.0,0
0.4506,0
0.2354,1
0.5581,1
0.1384,0
0.0001,0
0.2351,1
0.0173,0
0.153,0
0.3259,0
0.3652,0
0.0,0
0.0002,0
0.2192,0
0.0151,0
0.4381,1
0.003,0
0.2563,0
0.1321,0
0.3781,1
0.2946,0
0.0,0
0.1095,0
0.533,1
0.2462,0
0.1294,1
0.2247,1
0.2499,0
0.086,0
0.1384,1
0.2717,1
0.0,0
0.0365,1
0.0,0
0.1416,0
0.3954,1
0.5222,1
0.2819,1
0.1263,0
0.3339,0
0.0006,0
0.0262,0
0.3657,0
0.004,0
0.2304,1
0.0,0
0.3761,0
0.1689,0
0.0,0
0.2176,0
0.0152,1
0.3559,0
0.4802,0
0.0806,0
0.0,0
0.0,0
0.0,0
0.4777,1
0.0004,0
0.3833,1
0.0047,0
0.3646,1
0.0,0
0.2609,0
0.3928,1
0.2017,0
0.1572,0
0.3889,1
0.0214,0
0.0944,0
0.0657,0
0.0053,0
0.2666,0
0.2142,1
0.3317,0
0.3073,0
0.0783,0
0.4105,1
0.0513,0
0.0469,0
0.0,0
0.0,0
0.363,0
0.0002,0
0.3399,0
0.3225,0
0.1715,0
0.0047,0
0.3206,0
0.076,0
0.1324,0
0.3801,0
0.1009,0
0.0811,0
0.0961,0
0.3297,0
0.4835,1
0.2175,1
0.0,0
0.204,0
0.0,0
0.0,0
0.0,0
0.3894,0
0.3114,0
0.0413,0
0.12,0
0.2718,0
0.0,0
0.1154,1
0.0,0
0.0,0
0.2664,1
0.116,0
0.2074,0
0.1235,0
0.2762,0
0.0363,0
0.194,1
0.2152,1
0.0,0
0.0769,0
0.0913,0
0.3752,0
0.0594,1
0.0,0
0.0135,0
0.2426,0
0.0,0
0.2463,0
0.0001,0
0.3562,0
0.0096,0
0.2431,1
0.4272,0
0.0043,0
0.0,0
0.404,0
0.2164,1
0.4106,1
0.0832,0
0.1251,0
0.1413,0
0.0994,0
0.0063,1
0.4963,0
0.0,0
0.1411,0
0.52,0
0.0189,0
0.0827,0
0.0,0
0.0,0
0.0732,1
0.2939,1
0.0001,0
0.3616,0
0.0223,0
0.0389,0
0.0049,0
0.4346,0
0.0864,0
0.0682,1
0.174,0
0.2198,0
0.2954,1
0.0224,0
0.1273,0
0.4222,1
0.0116,0
0.1683,0
0.0146,0
0.1217,0
0.053,0
0.3982,0
0.0407,0
0.0053,0
0.083,1
0.0,0
