score,class
0.1898,0
0.1117,0
0.1154,0
0.2664,1
0.2098,0
0.1692,1
0.1805,0
0.0718,0
0.244,0
0.246,0
0.2456,0
0.2718,0
0.0,0
0.1312,0
0.2598,0
0.2483,1
0.0,0
0.2631,0
0.2579,0
0.23,0
0.1302,0
0.0,0
0.2732,0
0.2729,1
0.2172,1
0.2545,0
0.2754,0
0.0,0
0.2589,0
0.2524,0
0.2321,0
0.2593,0
0.07,0
0.0652,0
0.2561,0
0.0001,0
0.2599,1
0.2453,0
0.2688,0
0.2335,0
0.2631,0
0.2585,1
0.2323,0
0.2732,0
0.264,0
0.2482,0
0.2563,0
0.2752,0
0.2748,1
0.1936,0
0.2676,0
0.1786,0
0.0895,0
0.2668,0
0.2537,0
0.064,0
0.1998,1
0.264,0
0.2681,1
0.2605,0
0.2684,0
0.2591,0
0.2733,0
0.1526,0
0.2137,0
0.1982,0
0.1848,0
0.2704,0
0.2575,0
0.0002,0
0.2419,1
0.2238,0
0.2611,1
0.062,0
0.2018,0
0.2769,0
0.2434,0
0.2521,0
0.2696,0
0.0673,0
0.2655,0
0.2691,0
0.2666,1
0.2731,0
0.0,0
0.2636,0
0.2763,0
0.2704,0
0.2254,0
0.2451,0
0.219,0
0.2732,0
0.0774,0
0.2699,0
0.0775,0
0.2557,0
0.266,0
0.2492,0
0.0676,0
0.2633,0
0.2495,0
0.0821,0
0.2736,0
0.2495,0
0.1325,1
0.237,0
0.2593,1
0.271,0
0.2201,0
0.2414,0
0.2428,0
0.2675,1
0.266,0
0.2064,0
0.227,0
0.2674,0
0.2768,0
0.0,0
0.2704,0
0.22,0
0.0894,0
0.2619,0
0.2716,0
0.2331,1
0.2685,0
0.263,1
0.1735,0
0.2658,0
0.2305,0
0.2063,0
0.2677,0
0.2235,0
0.2365,1
0.2535,1
0.0875,0
0.2548,1
0.2542,1
0.0001,0
0.204,0
0.1094,0
0.254,0
0.2769,1
0.2755,0
0.2717,0
0.2706,1
0.0416,0
0.1838,0
0.1827,0
0.2412,1
0.231,0
0.2657,0
0.2642,1
0.1487,0
0.2696,0
0.2707,0
0.2745,0
0.2452,1
0.0,0
0.274,0
0.2769,1
0.2427,0
0.0,0
0.2665,0
0.2691,0
0.0344,0
0.0,0
0.0016,0
0.2741,0
0.2685,0
0.2616,1
0.2684,0
0.1504,0
0.0865,0
0.2681,0
0.2343,0
0.2604,0
0.0897,0
0.2556,1
0.0244,0
0.2578,0
0.2161,0
0.2605,0
0.2447,0
0.2616,0
0.2718,0
0.2588,0
0.2723,0
0.1739,0
0.2482,0
0.2523,0
0.2212,0
0.2739,0
0.1558,0
0.267,0
0.266,0
0.1688,0
0.242,0
0.2118,0
0.2735,0
0.0052,0
0.2557,0
0.1901,0
0.2735,1
0.943,1
0.0844,0
0.0025,0
0.0657,0
0.0045,0
0.001,0
0.0667,0
0.0004,0
0.009,0
0.9188,1
0.0378,0
0.0076,0
0.002,0
0.0005,0
0.005,0
0.9617,1
0.9917,1
0.0119,0
0.317,0
0.3834,0
0.4376,0
0.0128,0
0.0137,0
0.4515,0
0.0,0
0.0004,0
0.086,0
0.0009,0
0.7322,1
0.728,1
0.0019,0
0.0024,0
0.0001,0
0.8628,1
0.0075,0
0.1194,0
0.5165,0
0.0641,0
0.0265,0
0.3211,0
0.4238,1
0.9098,1
0.0096,0
0.0278,0
0.0011,0
0.1346,0
0.0006,0
0.9264,1
0.067,0
0.4305,0
0.0023,0
0.008,0
0.0739,0
0.0229,0
0.013,0
0.9932,1
0.0,0
0.0024,0
0.9842,1
0.0044,0
0.8667,1
0.0468,0
0.0151,0
0.0013,0
0.0418,0
0.7799,1
0.0708,0
0.8655,1
0.0752,0
0.9571,1
0.0066,0
0.4363,0
0.0001,0
0.3109,0
0.4771,0
0.0303,0
0.4616,0
0.0,0
0.856,1
0.0603,0
0.027,0
0.0012,0
0.0236,0
0.9911,1
0.0003,0
0.0485,0
0.9575,1
0.0013,0
0.9887,1
0.9151,1
0.0029,0
0.3986,1
0.4543,1
0.2093,0
0.0068,0
0.0189,0
0.0328,0
0.919,1
0.2701,0
0.1357,0
0.0586,0
0.0259,0
0.6098,0
0.0061,0
0.034,0
0.415,1
0.0383,0
0.6221,0
0.0495,0
0.9297,1
0.2125,0
0.9829,1
0.9892,1
0.4955,0
0.0844,0
0.0005,0
0.025,0
0.9376,1
0.6577,1
0.0036,0
0.5024,0
0.0053,0
0.0026,0
0.4704,0
0.0101,0
0.9828,1
0.003,0
0.9767,1
0.0021,0
0.0008,0
0.0052,0
0.0,0
0.0,0
0.0005,0
0.8758,1
0.0146,0
0.0032,0
0.0017,0
0.4986,0
0.002,0
0.0044,0
0.9538,1
0.0065,0
0.9885,1
0.1262,0
0.0416,0
0.0032,0
0.0157,0
0.2043,0
0.9457,1
0.0011,0
0.0,0
0.0033,0
0.8551,1
0.3215,0
0.0785,0
0.0263,0
0.0213,0
0.0103,0
0.1094,0
0.6593,1
0.0064,0
0.0072,0
0.0099,0
0.0192,0
0.0051,0
0.0,0
0.0092,0
0.0028,0
0.994,1
0.0146,0
0.0,0
0.0159,0
0.7759,1
0.7075,1
0.0003,0
0.0358,0
0.004,0
0.1294,0
0.0452,0
0.9406,1
0.3514,0
0.2423,0
0.9635,1
0.0184,0
0.9344,1
0.0002,0
0.2284,0
0.0015,0
0.0021,0
0.6827,1
0.1099,0
0.0054,0
0.0062,0
0.0011,0
0.8319,1
0.0543,0
0.3871,0
0.0001,0
0.1387,0
0.0197,0
0.0043,0
0.0306,0
0.0001,0
