score,class
0.0041,0
0.4931,0
0.0006,0
0.0011,0
0.0005,0
0.0007,0
0.0005,0
0.7789,1
0.7266,0
0.0135,0
0.0005,0
0.6905,0
0.0006,0
0.0372,0
0.0006,0
0.0006,0
0.0005,0
0.0005,0
0.5549,0
0.0005,0
0.0007,0
0.0006,0
0.0006,0
0.0011,0
0.0005,0
0.0013,0
0.0005,0
0.0007,0
0.0006,0
0.0006,0
0.0006,0
0.0006,0
0.0005,0
0.418,1
0.846,1
0.563,0
0.6636,0
0.008,0
0.0005,0
0.7715,1
0.0007,0
0.0009,0
0.1081,0
0.8099,1
0.0005,0
0.2612,0
0.7851,0
0.0005,0
0.0009,0
0.0005,0
0.0007,0
0.0006,0
0.0006,0
0.0387,0
0.001,0
0.2345,1
0.0006,0
0.2162,0
0.0006,0
0.0003,0
0.0074,0
0.776,1
0.7725,1
0.7809,1
0.0007,0
0.0006,0
0.0006,0
0.0007,0
0.4954,1
0.8721,0
0.6405,0
0.495,1
0.1648,0
0.0006,0
0.0005,0
0.0006,0
0.0009,0
0.0006,0
0.0008,0
0.0007,0
0.0005,0
0.0014,0
0.0006,0
0.0006,0
0.0006,0
0.0007,0
0.0005,0
0.0006,0
0.0005,0
0.115,0
0.0011,0
0.0006,0
0.0006,0
0.0071,0
0.0007,0
0.4542,1
0.0029,0
0.0006,0
0.0005,0
0.0005,0
0.4845,1
0.5151,1
0.0089,0
0.0007,0
0.78,1
0.0006,0
0.3397,1
0.0547,0
0.0006,0
0.0005,0
0.0032,0
0.0006,0
0.003,0
0.8169,1
0.0005,0
0.0006,0
0.2627,0
0.3978,1
0.0006,0
0.0012,0
0.0007,0
0.0007,0
0.0077,0
0.0006,0
0.0005,0
0.0005,0
0.7378,1
0.0087,0
0.7949,1
0.9091,1
0.0006,0
0.0005,0
0.001,0
0.0006,0
0.0008,0
0.1058,1
0.0006,0
0.7436,0
0.0006,0
0.6601,1
0.0024,0
0.0008,0
0.0006,0
0.0005,0
0.5104,0
0.1566,1
0.0258,0
0.0012,0
0.0008,0
0.0005,0
0.0005,0
0.0005,0
0.0068,0
0.0036,0
0.0006,0
0.0005,0
0.8009,1
0.0005,0
0.0007,0
0.0006,0
0.0006,0
0.0243,0
0.0007,0
0.0006,0
0.0005,0
0.0006,0
0.0006,0
0.0025,0
0.0005,0
0.955,1
0.7302,1
0.0006,0
0.0007,0
0.0005,0
0.0778,0
0.0006,0
0.0005,0
0.8946,1
0.0007,0
0.0006,0
0.0006,0
0.3362,0
0.0006,0
0.0008,0
0.0114,0
0.5542,0
0.0005,0
0.0049,0
0.0006,0
0.0005,0
0.7639,1
0.0006,0
0.0005,0
0.0138,0
0.0006,0
0.7391,1
0.0006,0
0.0006,0
0.0044,0
0.0005,0
0.0005,0
0.2124,0
0.676,1
0.0006,0
0.0,0
0.3635,0
0.0,0
0.0,0
0.0458,0
0.6162,1
0.778,1
0.0,0
0.0,0
0.0,0
0.0003,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0165,0
0.1487,0
0.0,0
0.7557,1
0.0001,0
0.0,0
0.0,0
0.1268,1
0.0,0
0.0,0
0.6032,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.6024,1
0.0,0
0.0,0
0.0,0
0.3364,1
0.0372,0
0.0,0
0.0,0
0.0,0
0.0,0
0.8117,1
0.0,0
0.551,0
0.0511,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0046,0
0.7312,1
0.1053,0
0.0,0
0.0,0
0.0,0
0.0184,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.6891,1
0.9259,1
0.0,0
0.0,0
0.1262,0
0.6869,1
0.7916,1
0.0,0
0.0,0
0.0,0
0.0,0
0.4284,1
0.6641,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.5333,0
0.0316,0
0.0,0
0.0,0
0.0,0
0.0,0
0.548,0
0.6315,0
0.0,0
0.0,0
0.0,0
0.0059,0
0.0,0
0.0,0
0.0,0
0.7741,1
0.0014,0
0.0919,1
0.0,0
0.0057,1
0.0,0
0.5994,0
0.0002,0
0.268,1
0.0001,0
0.164,1
0.3548,1
0.0,0
0.5912,1
0.0,0
0.6365,1
0.0,0
0.0,0
0.5902,1
0.0,0
0.68,1
0.0,0
0.0135,1
0.0,0
0.0,0
0.7448,1
0.3357,0
0.5475,0
0.0,0
0.0,0
0.0279,0
0.5805,1
0.0,0
0.0,0
0.7802,1
0.6707,0
0.404,0
0.0,0
0.0,0
0.1494,0
0.0006,1
0.0,0
0.0,0
0.1776,0
0.6219,0
0.0,0
0.0,0
0.7818,1
0.6882,1
0.6408,0
0.0,0
0.0,0
0.0,0
0.0,0
0.3357,1
0.6999,1
0.7079,1
0.0162,1
0.631,1
0.5797,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0848,0
0.0,0
0.0,0
0.0,0
0.7238,1
0.7652,1
0.0,0
0.0,0
0.74,1
0.0008,0
0.7177,0
0.6712,0
0.5916,0
0.0,0
0.7268,0
0.0,0
0.7108,1
0.7962,0
0.694,1
0.0,0
0.8385,1
0.6857,1
0.0,0
0.0,0
0.0,0
0.0,0
0.7595,0
0.5542,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
