score,class
0.0,0
0.0,0
0.6768,1
0.0,0
0.0194,0
0.7962,1
0.7668,1
0.0,0
0.0543,0
0.0029,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0752,0
0.0,0
0.1303,0
0.0714,0
0.0049,0
0.7962,1
0.0,0
0.0033,0
0.0,0
0.0,0
0.0085,0
0.0021,0
0.0471,0
0.0151,0
0.0015,0
0.1851,0
0.7614,1
0.8035,1
0.0009,0
0.0,0
0.0,0
0.0,0
0.0917,0
0.7652,1
0.0053,0
0.0045,0
0.29,0
0.0,0
0.0,0
0.0235,0
0.0,0
0.7956,1
0.0531,0
0.0185,0
0.0149,0
0.0,0
0.0256,0
0.7525,1
0.0001,0
0.0,0
0.7904,1
0.0002,0
0.0135,0
0.0343,0
0.0,0
0.0262,1
0.0287,0
0.0,0
0.0356,0
0.0076,0
0.0226,0
0.0,0
0.0018,0
0.0257,1
0.0013,0
0.0003,0
0.0,0
0.0378,0
0.7567,1
0.0693,0
0.067,0
0.0019,0
0.0229,0
0.0,0
0.0,0
0.3353,0
0.0671,0
0.0,0
0.7972,1
0.0,0
0.0604,0
0.0828,0
0.0,0
0.7973,1
0.0301,0
0.1398,0
0.0001,0
0.0023,0
0.7501,1
0.0312,0
0.797,1
0.0029,0
0.0019,0
0.0021,0
0.0088,0
0.0516,0
0.0002,0
0.0,0
0.0175,0
0.6747,1
0.0,0
0.0269,0
0.0035,0
0.0348,0
0.1148,0
0.0582,0
0.0001,0
0.0,0
0.0315,0
0.0,0
0.013,0
0.0058,0
0.049,0
0.2119,0
0.8007,1
0.007,0
0.0093,0
0.8032,1
0.0,0
0.7522,1
0.0,0
0.017,0
0.7311,1
0.2375,0
0.0,0
0.0,0
0.0476,0
0.0018,0
0.0391,0
0.0,0
0.0,0
0.0175,0
0.7521,1
0.0,0
0.004,0
0.0402,0
0.0607,0
0.01,0
0.8025,1
0.0487,0
0.0,0
0.0039,0
0.0268,0
0.0099,0
0.7642,1
0.0,0
0.7982,1
0.057,0
0.7848,1
0.014,0
0.0235,0
0.041,0
0.1074,0
0.0,0
0.0164,0
0.0397,0
0.7864,1
0.0,0
0.0266,0
0.7803,1
0.7974,1
