score,class
0.3207,0
0.003,0
0.001,0
0.491,1
0.9943,1
0.4718,1
0.2169,0
0.2719,0
0.0784,0
0.9991,1
0.0018,0
0.0001,0
0.0249,0
0.4502,1
0.1964,1
0.0005,0
0.0084,0
0.4597,1
0.4868,0
0.9988,1
0.0001,0
0.0091,0
0.0532,0
0.992,1
0.1146,0
0.0049,0
0.1502,0
0.0013,0
0.0113,0
0.0023,0
0.0004,0
0.4909,1
0.0003,0
0.0001,0
0.4909,1
0.9991,1
0.0234,0
0.0031,0
0.0705,0
0.1962,0
1.0,1
0.9997,1
0.0468,0
0.468,1
0.0246,0
0.1583,0
0.3334,1
0.4575,1
0.5024,1
0.437,0
0.0004,0
0.0591,0
0.0641,0
0.4584,0
0.22,0
0.0093,0
0.9996,1
0.4657,1
0.1297,0
0.0169,0
0.0077,0
0.051,0
0.3429,1
0.3089,0
0.9982,1
0.0474,0
0.0005,0
0.0116,0
0.0013,0
0.3814,0
0.1431,0
0.3024,1
0.0008,0
0.9999,1
0.2741,0
0.059,0
0.0003,0
0.0412,0
0.1124,0
0.0031,0
0.9935,1
0.2483,1
0.0656,0
0.0028,0
0.0033,0
0.9993,1
0.0012,0
0.0178,0
0.01,0
0.0358,0
0.404,1
0.4549,1
0.4335,1
0.0005,0
0.032,0
0.1492,0
0.0525,0
0.001,0
0.2144,0
0.0019,0
0.0924,0
0.0027,0
0.0185,0
0.3402,1
0.0676,0
0.003,0
0.0032,0
0.0034,0
0.0023,0
0.0034,0
0.2082,0
0.0043,0
0.4375,1
0.0021,0
0.0307,0
0.0003,0
0.0002,0
0.2221,1
0.009,0
0.3077,0
0.0013,0
0.0015,0
0.0003,0
0.9971,1
0.0005,0
0.0477,0
0.1359,0
0.0067,0
0.1001,0
0.005,0
0.0006,0
0.0005,0
0.0202,0
0.1531,0
0.3123,0
0.0014,0
0.0677,0
0.0065,0
0.0091,0
0.0085,0
0.0244,0
0.0002,0
0.0039,0
0.0027,0
0.033,0
0.0001,0
0.0021,0
0.999,1
0.0016,0
0.4973,1
0.0012,0
0.007,0
0.0204,0
0.0015,0
0.0012,0
0.0005,0
0.0003,0
0.0001,0
0.3909,1
0.1465,0
0.0002,0
0.0015,0
0.2709,0
0.0015,0
0.2139,0
0.0182,0
0.0518,0
0.0005,0
0.0016,0
0.0113,0
0.0008,0
0.448,1
0.201,0
0.0018,0
0.9925,1
0.1332,0
0.1755,0
0.0011,0
0.0478,0
0.2642,0
0.0013,0
0.0002,0
0.0005,0
0.0958,0
0.1613,0
0.0058,0
0.3824,1
0.1907,0
0.0244,0
0.4359,1
0.0212,0
0.0006,0
0.0875,0
0.0157,0
0.0013,0
0.0008,0
0.4513,1
0.0006,0
0.0154,0
0.0688,0
0.4446,1
0.483,1
0.0014,0
0.0026,0
0.4669,1
0.0065,0
0.0008,0
0.0009,0
0.0591,0
0.0002,0
0.0273,0
0.6202,1
0.0256,0
0.1314,0
0.0187,0
0.3623,0
0.4475,1
0.0024,0
0.0013,0
0.4919,1
0.0085,0
0.5109,1
0.0002,0
0.0014,0
0.0105,0
0.0022,0
0.0009,0
0.0192,0
0.0023,0
0.0018,0
0.0815,0
0.9999,1
0.1367,0
0.0167,0
0.9991,1
0.006,0
0.987,1
0.4295,1
0.012,0
0.0295,0
0.1335,0
0.0047,0
0.1176,0
0.1021,0
0.0056,0
0.0008,0
0.9976,1
0.1079,0
0.0018,0
0.0041,0
0.0144,0
0.0005,0
0.0783,0
0.4052,0
0.0425,0
0.0002,0
0.0303,0
0.0106,0
0.0125,0
0.0,0
0.0149,0
0.4462,1
0.0001,0
0.0015,0
0.856,1
0.0,0
0.0042,0
0.0033,0
0.0111,0
0.4589,0
0.8282,1
0.015,0
0.8592,1
0.0152,0
0.4375,1
0.0043,0
0.572,1
0.0161,0
0.002,0
0.0074,0
0.0254,0
0.0128,0
0.1514,0
0.0001,0
0.4814,0
0.0001,0
0.0014,0
0.0035,0
0.0017,0
0.0,0
0.7586,1
0.2546,0
0.0001,0
0.3841,1
0.83,1
0.4492,1
0.7347,1
0.8411,1
0.005,0
0.0,0
0.6397,0
0.4259,0
0.8531,1
0.374,1
0.0001,0
0.0275,0
0.7054,1
0.6867,1
0.0115,0
0.0014,0
0.8009,1
0.0016,0
0.0015,0
0.0046,0
0.0002,0
0.8555,1
0.0006,0
0.0181,0
0.4493,1
0.454,1
0.002,0
0.4495,0
0.0032,0
0.0132,0
0.5418,1
0.0305,0
0.8602,1
0.454,1
0.0006,0
0.4454,1
0.8735,1
0.0025,0
0.005,0
0.0437,0
0.0131,0
0.0296,0
0.1441,0
0.0002,0
0.0092,0
0.4528,1
0.8203,1
0.0256,0
0.0167,0
0.0082,0
0.0078,0
0.8444,1
0.0165,0
0.3787,0
0.4504,1
0.0019,0
0.4867,0
0.0313,0
0.0001,0
0.0001,0
0.0005,0
0.0001,0
0.0034,0
0.0152,0
0.0422,0
0.0048,0
0.0507,0
0.0056,0
0.0011,0
0.7011,1
0.4478,1
0.0162,0
0.0064,0
0.0021,0
0.0087,0
0.0102,0
0.8376,1
0.0516,0
0.0208,0
0.0418,0
0.0348,0
0.0065,0
0.0027,0
0.0908,0
0.0194,0
0.0171,0
0.0238,0
0.0064,0
0.0003,0
0.0001,0
0.017,0
0.6666,1
0.0025,0
0.0132,0
0.7158,1
0.0013,0
0.0001,0
0.0072,0
0.4781,0
0.0,0
0.8305,1
0.0035,0
0.0,0
0.624,0
0.0057,0
0.0001,0
0.0064,0
0.0084,0
0.4506,1
0.0001,0
0.0029,0
0.0879,0
0.4541,1
0.0003,0
0.061,0
0.0219,0
0.1572,0
0.7407,1
0.0088,0
0.0116,0
0.0001,0
0.0086,0
0.0,0
0.0036,0
0.0509,0
0.0105,0
0.028,0
0.003,0
0.0001,0
0.8279,1
0.8191,1
0.8709,1
0.0163,0
0.0024,0
0.0091,0
0.0079,0
0.0009,0
0.8264,1
0.0087,0
0.0042,0
0.307,0
0.0775,0
0.003,0
0.0084,0
0.6983,0
0.0004,0
0.8209,1
0.0021,0
0.0034,0
0.0002,0
0.0127,0
0.0,0
0.0016,0
0.0133,0
0.821,1
0.0017,0
0.0068,0
0.444,1
0.0058,0
0.0,0
0.2633,0
0.6714,1
0.003,0
0.2526,0
0.0068,0
0.0638,0
0.4281,1
0.0001,0
0.0011,0
0.0079,0
0.0012,0
0.0092,0
0.0288,0
0.0745,0
0.4535,1
0.0,0
0.6596,1
0.7714,1
0.0005,0
0.0053,0
0.0043,0
0.0001,0
0.2204,1
0.0243,0
0.0066,0
0.003,0
0.0109,0
0.0126,0
0.0003,0
0.0044,0
0.0757,0
0.4506,1
0.8472,1
0.0019,0
0.8661,1
0.0273,0
0.0177,0
0.003,0
0.0001,0
0.8899,1
0.0036,0
0.0001,0
0.0018,0
0.8132,1
0.0001,0
0.0361,0
0.7042,1
0.755,1
0.4407,0
0.0146,0
0.8208,1
0.7512,1
0.0056,0
0.0001,0
0.026,0
0.0621,0
0.0109,0
0.0221,0
0.0043,0
0.0058,0
