score,class
0.1639,0
0.2492,1
0.2499,0
0.22,0
0.2462,0
0.1313,0
0.2509,0
0.2512,0
0.1664,0
0.1299,0
0.2385,0
0.2482,0
0.2476,1
0.2362,0
0.1307,0
0.178,0
0.2497,0
0.1648,0
0.1588,0
0.2091,1
0.1663,0
0.1272,0
0.2235,0
0.1725,0
0.2505,0
0.2459,0
0.2465,0
0.2522,0
0.2475,0
0.1726,0
0.2367,0
0.226,0
0.1253,0
0.2494,0
0.2206,0
0.2388,0
0.2517,0
0.2512,0
0.1689,0
0.1245,0
0.2436,1
0.2505,0
0.2325,0
0.1735,0
0.2409,0
0.2386,1
0.1553,0
0.241,0
0.1593,0
0.2566,1
0.1761,0
0.2526,0
0.2362,0
0.1716,0
0.1319,0
0.2572,1
0.1302,0
0.2434,0
0.247,0
0.1698,0
0.2478,0
0.2325,0
0.1554,0
0.2525,0
0.1652,0
0.2428,0
0.2464,0
0.1539,0
0.1622,0
0.1697,0
0.239,0
0.2419,0
0.2465,1
0.1276,0
0.1266,0
0.2461,0
0.2396,0
0.1298,0
0.1519,0
0.2511,0
0.251,0
0.2427,0
0.2442,0
0.2514,0
0.1728,0
0.1296,0
0.1279,0
0.1572,0
0.2504,0
0.2485,0
0.2321,1
0.1581,0
0.2437,1
0.2379,0
0.2414,1
0.143,0
0.2464,0
0.2506,0
0.1496,0
0.2242,0
0.2389,1
0.1662,0
0.1359,0
0.2516,0
0.1923,1
0.1534,0
0.1275,0
0.2307,1
0.1643,0
0.176,0
0.1613,0
0.2586,1
0.257,1
0.2472,0
0.2241,1
0.2527,0
0.2378,0
0.2442,1
0.1297,0
0.1753,0
0.1614,0
0.2415,0
0.2263,1
0.1574,0
0.2251,1
0.1211,0
0.1542,0
0.1302,0
0.1607,0
0.1317,0
0.233,1
0.138,0
0.1691,0
0.2493,0
0.187,1
0.1655,0
0.2493,0
0.2434,1
0.1678,0
0.1517,0
0.1662,0
0.1916,1
0.2462,0
0.1567,0
0.146,0
0.2299,1
0.2494,0
0.2426,0
0.2311,1
0.2497,0
0.2369,1
0.2491,0
0.2449,1
0.1556,0
0.2484,0
0.2397,0
0.2511,0
0.2473,0
0.237,1
0.1573,0
0.1935,0
0.2513,1
0.2376,0
0.2033,1
0.255,1
0.1268,0
0.1632,0
0.1643,0
0.2478,1
0.2375,0
0.2492,0
0.2468,0
0.1682,0
0.2381,1
0.1543,0
0.2311,0
0.2482,0
0.1766,0
0.1926,1
0.25,0
0.1617,0
0.1677,0
0.2403,0
0.2429,0
0.1217,0
0.1584,0
0.2477,1
0.244,1
0.2366,0
0.1589,0
0.2426,0
0.2459,1
0.2512,0
0.2326,1
0.1655,0
0.2507,0
0.246,0
0.2404,1
0.2448,0
0.2505,0
0.2372,0
0.2406,1
0.2293,1
0.2383,1
0.2452,0
0.2472,0
0.2593,1
0.1498,0
0.1291,0
0.2436,0
0.1262,0
0.171,0
0.2462,0
0.2455,0
0.2387,0
0.1671,0
0.1989,1
0.2572,1
0.2314,1
0.1551,0
0.2582,1
0.2223,0
0.1661,0
0.2506,1
0.153,0
0.1562,0
0.1293,0
0.2424,0
0.1485,0
0.1653,0
0.129,0
0.145,0
0.2274,1
0.1325,0
0.2501,0
0.2495,0
0.2362,1
0.1518,0
0.2504,0
0.1378,0
0.2305,1
0.2368,0
0.2286,1
0.151,0
0.1625,0
0.2372,0
0.1606,0
0.2512,1
0.2418,0
0.2477,0
0.1272,0
0.1263,0
0.2369,0
0.1433,0
0.2464,0
0.1547,0
0.1665,0
0.2094,1
0.2094,1
0.2094,1
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,1
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,1
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,1
0.2094,1
0.2094,1
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,1
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,1
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,1
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,1
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,1
0.2094,0
0.2094,0
0.2094,0
0.2094,0
