score,class
0.4458,1
0.2149,0
0.2009,1
0.2002,0
0.2156,0
0.201,0
0.4273,1
0.5593,0
0.1964,0
0.5234,0
0.2268,0
0.1999,0
0.2403,0
0.6464,1
0.5237,0
0.2324,0
0.252,0
0.4962,1
0.5226,1
0.4161,1
0.6296,1
0.2028,0
0.5391,1
0.4435,0
0.208,0
0.208,1
0.6988,1
0.208,1
0.6171,1
0.5375,1
0.499,0
0.7045,0
0.2338,0
0.1999,0
0.6342,1
0.2017,0
0.4298,1
0.2122,0
0.2003,0
0.4535,1
0.2611,0
0.6038,0
0.2207,0
0.211,0
0.2086,0
0.208,1
0.2009,1
0.1824,0
0.208,0
0.482,1
0.2061,0
0.4433,1
0.5147,1
0.207,0
0.2009,0
0.2521,0
0.201,0
0.1927,0
0.5232,0
0.2501,0
0.3533,0
0.5072,1
0.201,0
0.201,0
0.2617,0
0.4703,1
0.2092,0
0.1976,1
0.4996,1
0.6352,0
0.4023,0
0.4735,0
0.2078,0
0.2139,0
0.5688,1
0.2002,0
0.5236,0
0.4092,0
0.2208,0
0.2011,0
0.5068,0
0.4266,0
0.203,0
0.2003,0
0.4988,1
0.1998,0
0.5251,1
0.1967,0
0.2376,0
0.5552,0
0.2052,0
0.4246,0
0.2696,0
0.2001,1
0.231,0
0.2552,0
0.4868,1
0.4772,0
0.5329,1
0.1908,0
0.4799,0
0.4904,0
0.4288,0
0.608,1
0.4334,0
0.2478,0
0.5641,1
0.638,1
0.4831,0
0.2233,0
0.1971,1
0.2437,0
0.4966,1
0.2475,0
0.1797,0
0.2011,0
0.1733,0
0.2081,0
0.2297,0
0.2218,0
0.2627,0
0.3868,1
0.2369,0
0.2157,0
0.4715,1
0.2081,0
0.4722,1
0.2122,0
0.2378,0
0.4372,0
0.255,0
0.1894,0
0.2063,0
0.218,0
0.2068,0
0.1762,0
0.2057,0
0.2001,0
0.2008,0
0.5964,1
0.2007,0
0.2876,0
0.2079,1
0.1998,0
0.4418,0
0.4945,1
0.2559,0
0.2142,0
0.2067,1
0.2081,1
0.4046,0
0.1931,1
0.2138,0
0.4882,0
0.4053,1
0.2193,0
0.6851,0
0.5263,0
0.2468,0
0.478,1
0.1903,0
0.6067,1
0.2019,0
0.2638,0
0.2529,0
0.2072,0
0.5557,1
0.201,0
0.2081,0
0.1902,0
0.511,1
0.1898,0
0.2176,0
0.5296,1
0.208,0
0.1913,1
0.2396,0
0.199,0
0.2158,0
0.5594,1
0.4883,1
0.208,1
0.2699,0
0.5734,1
0.1932,0
0.2227,0
0.498,1
0.2785,0
0.208,1
0.1976,0
0.2735,0
0.2463,0
0.2488,0
0.2192,0
0.5235,1
0.1714,0
0.1976,1
0.5592,1
0.2042,0
0.1947,0
0.5181,1
0.201,0
0.2081,1
0.2047,0
0.1957,1
0.1956,1
0.2532,0
0.2499,0
0.4958,0
0.5166,1
0.2149,0
0.2511,0
0.5302,1
0.2081,1
0.2003,0
0.2676,0
0.2081,1
0.223,0
0.1994,0
0.3771,1
0.2331,0
0.2004,0
0.2038,0
0.2006,1
0.52,1
0.2248,0
0.5928,1
0.208,1
0.4687,0
0.6296,1
0.2079,1
0.5077,0
0.2011,0
0.534,1
0.1956,0
0.1988,0
0.2383,0
0.2091,0
0.2004,0
0.2137,0
0.5947,1
0.2495,0
0.2393,0
0.1998,0
0.2281,0
0.1994,0
0.4215,1
0.2466,0
0.1689,1
0.5993,1
0.1929,0
0.2204,0
0.7034,0
0.2946,0
0.1911,1
0.2018,0
0.201,0
0.52,1
0.2006,0
0.3193,0
0.2126,0
0.1795,0
0.1973,0
0.2436,0
0.2675,0
0.5244,0
0.4592,1
0.2242,0
0.2345,1
0.4813,1
0.4978,1
0.5463,0
0.2164,0
0.3607,1
0.2119,0
0.1853,0
0.2196,0
0.4586,1
0.2126,0
0.1866,0
0.1999,0
0.512,0
0.1982,0
0.5223,0
0.3796,0
0.2001,0
0.1926,1
0.2006,1
0.2146,0
0.2043,0
0.1931,0
0.1959,0
0.208,1
0.208,0
0.2078,0
0.4486,0
0.1982,1
0.1969,0
0.4484,1
0.214,0
0.6259,1
0.4886,1
0.1956,0
0.2079,0
0.2079,1
0.2587,0
0.2049,0
0.2081,0
0.4603,1
0.6017,1
0.4576,1
0.2004,0
0.5851,0
0.2277,0
0.2229,0
0.1915,1
0.2108,0
0.2385,0
0.6042,1
0.2004,0
0.2009,0
0.4798,1
0.2211,0
0.2049,0
0.503,1
0.1909,1
0.2413,0
0.228,0
0.2415,0
0.2079,1
0.1932,0
0.1659,0
0.2049,0
0.4654,0
0.25,0
0.493,0
0.3098,0
0.6688,1
0.2,0
0.2011,0
0.5706,1
0.4935,1
0.4658,0
0.2765,0
0.2343,0
0.533,1
0.25,0
0.2096,0
0.2143,0
0.4456,1
0.6492,1
0.2321,0
0.5095,1
0.3806,0
0.1971,1
0.2493,0
0.2652,0
0.4973,0
0.5526,1
0.2202,0
0.2201,0
0.4658,0
0.1843,1
0.5242,1
0.2484,0
0.5707,1
0.1916,1
0.2066,1
0.1917,1
0.2554,0
0.2895,0
0.2074,0
0.5287,1
0.2271,0
0.4351,0
0.2518,0
0.231,0
0.5788,1
0.2563,0
0.2191,0
0.2316,0
0.3795,1
0.2009,1
0.2111,0
0.1961,1
0.2597,0
0.2198,0
0.404,0
0.5629,1
0.2347,0
0.1887,0
0.4342,0
0.4022,0
0.2028,0
0.215,0
0.4212,1
0.5044,0
0.1972,0
0.2213,0
0.2074,0
0.1957,0
0.2004,0
0.5594,1
0.2261,0
0.6609,1
0.208,0
0.2062,0
0.207,0
0.6271,1
0.1999,0
0.1718,1
0.2612,0
0.175,0
0.2011,1
0.4315,0
0.2011,0
0.5664,1
0.2076,0
0.2011,0
0.1912,0
0.4607,1
0.1998,1
0.2035,0
0.4699,1
0.2081,0
0.539,1
0.2045,1
0.1783,0
0.2007,0
0.2369,0
0.2068,1
0.2072,1
0.4945,1
0.1918,1
0.2014,0
0.6976,0
0.2245,0
0.4855,1
0.2053,0
0.177,0
0.5761,1
0.201,1
0.2004,0
0.7423,0
0.1747,0
0.406,1
0.2685,0
0.2004,1
0.1999,0
0.2011,0
0.6048,1
0.1736,0
0.1919,1
0.2547,0
0.2453,0
0.2273,0
0.257,0
0.2548,0
0.4242,1
0.5979,1
0.1685,1
0.2079,1
0.2422,0
0.2006,0
0.2298,0
0.4258,0
0.4658,0
0.2074,0
0.208,0
0.4741,1
0.2131,0
0.2245,0
0.3767,1
0.5649,1
0.4204,0
0.1905,1
0.2651,0
0.2046,0
0.1999,0
0.5139,1
0.208,0
0.5775,1
0.4565,0
0.2143,0
0.2383,0
0.3988,0
0.2072,0
0.1975,0
0.2008,1
0.1815,0
0.2071,0
0.5483,0
0.5055,1
0.2011,0
0.2435,0
0.5557,1
0.7306,0
0.208,1
0.2,0
0.4473,1
0.2011,0
0.193,0
0.2921,1
0.5453,0
0.2005,1
0.1879,0
0.2007,1
0.4857,0
0.2077,1
0.5123,0
0.2042,0
0.5964,0
0.6534,1
0.2248,0
0.213,0
0.2002,0
0.2482,0
0.5035,1
0.1789,0
0.208,0
0.5121,1
0.2014,0
0.2654,0
0.5308,1
0.2676,0
0.5193,1
0.2336,1
0.2077,0
0.1924,1
0.1958,0
0.5675,1
0.3945,1
0.4656,1
0.4218,0
0.194,0
0.2219,0
0.1868,1
0.2083,1
0.6256,1
0.2631,0
0.2116,0
0.2229,0
0.2277,0
0.2081,0
0.2366,0
0.2308,0
0.208,1
0.4855,1
0.5401,1
0.1945,0
0.19,0
0.4353,0
0.5128,1
0.2079,0
0.2081,0
0.4781,1
0.4824,1
0.2287,0
0.208,1
0.2259,0
0.5278,0
0.185,1
0.2004,0
0.2119,0
0.1955,0
0.4063,1
0.2081,0
0.529,1
0.2074,1
0.4233,1
0.4348,1
0.2145,0
0.5886,1
0.5748,0
0.5639,1
0.2012,0
0.207,0
0.1933,0
0.2081,0
0.2005,0
0.2263,0
0.1899,0
0.2523,0
0.211,0
0.2396,0
0.201,0
0.2935,0
0.2431,0
0.2385,0
0.1994,0
0.4834,0
0.3659,1
0.1965,1
0.5509,1
0.2647,0
0.2007,0
0.213,0
0.1908,1
0.595,1
0.1967,0
0.4699,1
0.5975,1
0.4967,1
0.4343,1
0.2015,0
0.541,0
0.2199,0
0.4724,1
0.5427,1
0.2026,0
0.1998,0
0.1988,0
0.3872,1
0.5183,0
0.204,0
0.2058,0
0.2001,1
0.1619,0
0.1916,1
0.3596,1
0.6126,1
0.1913,1
0.2677,0
0.2426,0
0.2092,1
0.4913,1
0.208,0
0.1969,0
0.208,0
0.233,0
0.4882,0
0.2009,0
0.2695,0
0.4938,0
0.4692,1
0.5621,1
0.531,1
0.2197,0
0.6108,1
0.2033,0
0.2316,0
0.2421,0
0.6548,1
0.2241,0
0.2346,0
0.2181,0
0.1954,0
0.2001,1
0.2229,0
0.1736,0
0.4732,0
0.1998,0
0.2009,1
0.208,0
0.1921,1
0.613,1
0.5228,1
0.2132,0
0.5187,1
0.2078,0
0.2464,0
0.5026,1
0.1039,0
0.4567,0
0.4484,1
0.2422,0
0.3151,0
0.514,1
0.1233,0
0.3171,0
0.4359,1
0.5163,1
0.3306,1
0.1807,0
0.454,1
0.5024,1
0.223,0
0.3586,0
0.4995,1
0.7056,1
0.3098,0
0.5137,1
0.2704,0
0.2217,0
0.4672,0
0.5029,1
0.487,1
0.5152,0
0.3125,0
0.1832,0
0.5164,0
0.1993,0
0.1163,0
0.1806,1
0.2609,1
0.1023,0
0.1689,0
0.4109,1
0.0964,0
0.3697,1
0.516,0
0.1666,0
0.0788,0
0.2864,0
0.1381,0
0.163,0
0.2076,0
0.3529,1
0.5177,1
0.1865,0
0.4848,1
0.3815,1
0.4256,1
0.327,1
0.2196,0
0.2189,0
0.4894,0
0.1614,0
0.4408,1
0.2358,1
0.2362,0
0.1443,0
0.079,0
0.3548,0
0.2736,1
0.0901,0
0.311,0
0.4177,1
0.3761,1
0.4005,1
0.5134,0
0.5156,0
0.516,1
0.2715,0
0.3439,0
0.0635,0
0.4734,1
0.3103,0
0.276,1
0.3562,0
0.4004,1
0.1683,0
0.0587,0
0.3555,1
0.5162,0
0.3715,0
0.353,0
0.0809,0
0.5139,0
0.3213,1
0.2881,0
0.1138,0
0.1619,0
0.124,0
0.2935,0
0.3711,1
0.2128,0
0.119,0
0.0853,0
0.3604,1
0.3367,0
0.4893,1
0.5161,1
0.2294,0
0.1173,1
0.1266,0
0.2976,0
0.1269,0
0.1104,0
0.48,0
0.4507,1
0.7526,0
0.2822,0
0.4513,1
0.7773,0
0.4574,1
0.0804,0
0.2689,0
0.5169,1
0.4882,1
0.5151,0
0.5154,1
0.3458,1
0.1317,1
0.1029,0
0.204,0
0.0931,0
0.4136,0
0.2068,0
0.3699,1
0.0907,0
0.4482,0
0.0759,0
0.5001,1
0.133,0
0.2834,1
0.1251,0
0.1484,0
0.5152,0
0.5391,1
0.289,0
0.508,1
0.3393,1
0.4253,0
0.1189,0
0.4767,0
0.3197,0
0.0835,0
0.3623,1
0.2096,0
0.0881,0
0.4542,1
0.5176,0
0.1812,0
0.515,1
0.3569,1
0.455,1
0.5153,0
0.2111,0
0.1522,0
0.0715,0
0.3215,0
0.2348,0
0.1193,0
0.5152,0
0.4453,0
0.1632,0
0.0971,0
0.4228,1
0.3474,0
0.4576,0
0.4276,1
0.0763,0
0.3562,0
0.4092,1
0.3071,0
0.3078,0
0.1091,0
0.0895,0
0.5158,1
0.4658,0
0.2888,0
0.1143,0
0.2063,0
0.1253,0
0.167,1
0.0718,0
0.4666,1
0.2176,0
0.4018,1
0.1523,0
0.2162,0
0.2021,0
0.2788,0
0.3559,0
0.178,0
0.4724,0
0.1515,0
0.1146,0
0.5135,1
0.1819,0
0.7447,1
0.4773,0
0.445,0
0.257,0
0.4462,1
0.3189,1
0.5168,1
0.3233,1
0.3499,0
0.3846,0
0.3025,1
0.4347,1
0.4549,1
0.5152,0
0.083,0
0.3625,1
0.073,0
0.2052,0
0.1615,0
0.183,0
0.1105,0
0.4242,0
0.5162,1
0.3415,1
0.3,0
0.3689,1
0.3966,1
0.668,0
0.1087,0
0.4419,1
0.2008,0
0.3139,0
0.1034,0
0.2588,0
0.2793,0
0.5151,1
0.259,1
0.4667,0
0.4831,1
0.3633,1
0.4702,1
0.3538,1
0.2322,1
0.2954,0
0.1978,0
0.1137,0
0.4627,1
0.436,1
0.3845,0
0.3129,0
0.0792,0
0.1613,0
0.1326,0
0.28,0
0.1911,0
0.2872,1
0.3134,0
0.364,0
0.3052,1
0.1559,0
0.5157,1
0.4378,0
0.3061,0
0.3012,0
0.1172,1
0.2778,0
0.3921,1
0.517,0
0.35,0
0.3671,0
0.1456,0
0.4262,0
0.2371,0
0.3859,1
0.1277,0
0.3903,0
0.7248,1
0.4649,0
0.5155,0
0.2402,0
0.0871,0
0.363,0
0.1047,0
0.1814,0
0.5155,1
0.1795,0
0.1383,0
0.1089,0
0.115,0
0.0562,0
0.2157,0
0.2844,0
0.3287,0
0.3589,0
0.3493,1
0.1998,0
0.2829,1
0.2517,0
0.3078,0
0.5148,0
0.1255,0
0.3156,0
0.3406,0
0.2221,0
0.5145,1
0.3534,0
0.1545,0
0.1623,1
0.2082,0
0.1423,0
0.172,0
0.4389,0
0.5115,1
0.81,1
0.487,1
0.4304,1
0.3148,0
0.3425,1
0.4575,1
0.4468,1
0.1565,0
0.2043,0
0.2777,0
0.4412,0
0.3667,1
0.518,1
0.1937,0
0.1081,0
0.0834,0
0.1183,0
0.1044,0
0.2136,0
0.0723,0
0.1731,0
0.1332,0
0.0972,0
0.3676,0
0.293,0
0.6224,1
0.333,0
0.5141,1
0.4218,0
0.1355,0
0.1131,0
0.2062,1
0.2584,0
0.1784,0
0.4977,0
0.1573,0
0.1113,0
0.506,0
0.1595,0
0.0964,0
0.0631,0
0.3031,0
0.4553,1
0.2866,0
0.3295,0
0.3796,1
0.258,1
0.5165,1
0.4871,1
0.1276,0
0.4804,1
0.5155,0
0.2118,0
0.4318,1
0.4028,0
0.2378,1
0.3402,0
0.1356,1
0.5171,1
0.4447,1
0.1398,1
0.3124,0
