score,class
0.3529,0
0.3349,0
0.2955,0
0.2757,0
0.2593,0
0.3373,1
0.2991,0
0.347,1
0.3133,0
0.2895,1
0.3169,0
0.2881,0
0.316,0
0.2612,0
0.3181,0
0.3417,0
0.2442,0
0.2854,1
0.3332,1
0.4702,0
0.3449,0
0.3487,0
0.2919,0
0.3298,0
0.3073,0
0.2929,0
0.3478,1
0.2883,1
0.5195,1
0.3183,0
0.2701,0
0.2671,0
0.4406,0
0.2668,1
0.4528,0
0.3289,0
0.3534,0
0.2398,1
0.2901,1
0.3195,0
0.2885,0
0.4138,0
0.3551,1
0.3495,1
0.289,0
0.3181,0
0.3016,0
0.3239,1
0.3093,0
0.3378,1
0.3395,0
0.3393,1
0.2678,0
0.2797,1
0.3408,1
0.288,1
0.3115,0
0.3173,0
0.2992,1
0.2888,1
0.3374,0
0.3173,0
0.2884,0
0.321,0
0.2881,0
0.3295,0
0.4162,0
0.4238,1
0.3367,0
0.2954,0
0.3453,0
0.3008,1
0.2904,0
0.3255,0
0.2803,0
0.2975,0
0.4978,1
0.4052,0
0.3095,0
0.3031,0
0.2941,1
0.3234,0
0.3476,0
0.2974,0
0.3215,0
0.3167,0
0.3276,0
0.3293,0
0.3384,0
0.41,0
0.3424,1
0.2881,1
0.3537,1
0.3993,0
0.289,0
0.4097,1
0.3425,1
0.288,0
0.326,0
0.3193,0
0.2974,1
0.3202,0
0.2954,0
0.3199,0
0.321,0
0.3364,0
0.4681,0
0.3142,0
0.3883,0
0.2966,1
0.3452,1
0.2772,0
0.3455,1
0.2739,0
0.3479,0
0.2567,0
0.3408,1
0.2999,0
0.2887,0
0.3248,0
0.266,0
0.3154,0
0.3037,0
0.322,0
0.2903,0
0.3175,0
0.2814,0
0.3514,0
0.316,1
0.3555,0
0.3498,1
0.3191,0
0.3211,0
0.4569,0
0.519,1
0.3079,0
0.2555,0
0.4319,0
0.3311,0
0.3936,0
0.3362,1
0.2899,0
0.3163,0
0.2956,0
0.324,0
0.3317,1
0.3153,0
0.3472,0
0.3367,0
0.3179,1
0.3242,0
0.2481,0
0.2963,1
0.3026,1
0.2373,0
0.3101,0
0.3513,0
0.3975,1
0.2973,0
0.3238,0
0.3505,0
0.3011,0
0.3444,1
0.3374,1
0.3244,1
0.3343,0
0.3374,0
0.2799,1
0.2955,1
0.3212,0
0.3146,0
0.3193,0
0.3425,1
0.2895,1
0.2876,0
0.3857,0
0.3213,0
0.3198,0
0.2578,0
0.3079,0
0.3392,1
0.3481,1
0.3083,0
0.2827,1
0.3384,1
0.2852,1
0.3137,1
0.3189,0
0.3182,1
0.2627,0
0.2896,0
0.3439,1
0.2731,1
0.3546,1
0.3086,0
0.3516,1
0.3452,1
0.3526,0
0.3281,0
0.3212,0
0.3464,1
0.2886,1
0.3621,0
0.3236,0
0.324,0
0.2879,0
0.3037,0
0.345,1
0.3489,1
