score,class
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.9847,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
0.9999,0
0.9988,0
0.0,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.9942,0
0.0,1
0.0,1
0.9998,1
0.0,1
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.9628,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,1
0.0,0
0.3731,0
0.0,1
0.0,1
0.9994,0
0.0,0
0.0,1
0.0,0
0.1651,0
0.0,0
0.0,1
0.9997,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.9963,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.9951,0
0.0,1
0.9837,0
0.0,0
0.0,0
0.0,0
0.9995,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.9912,0
0.0,0
0.0,1
0.0,0
0.0,1
0.0,0
0.0,1
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.9994,0
0.0,0
0.0,1
0.0,0
0.9996,1
0.0,1
0.0,1
0.0,0
0.0,1
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,1
0.4014,0
0.0,0
0.0,0
0.9985,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0571,1
0.9892,0
0.0,0
0.9994,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,0
0.0,1
0.0,1
0.0,1
0.0,1
0.9763,0
0.9996,0
0.0,0
0.0,0
0.0,1
0.0,0
0.0,1
0.0,0
0.0,1
