score,class
1.0,1
1.0,1
1.0,1
0.009,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0119,0
0.0118,0
1.0,1
0.0114,0
1.0,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0115,0
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0121,0
1.0,1
1.0,1
0.0089,0
0.9997,1
0.9999,1
1.0,1
1.0,1
1.0,1
0.9998,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0091,0
1.0,1
0.9997,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999,1
0.0091,0
1.0,1
1.0,1
1.0,1
1.0,1
0.9999,1
1.0,1
0.0099,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9997,1
1.0,1
0.0089,0
0.0089,0
1.0,1
0.0089,0
1.0,1
1.0,1
0.012,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
0.009,0
0.9999,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
0.9996,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
0.0089,0
1.0,1
0.9999,1
1.0,1
1.0,1
0.0132,0
0.0089,0
0.9996,1
1.0,1
1.0,1
0.0121,0
0.9997,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
0.9996,1
0.0117,0
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
1.0,1
0.0091,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9997,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0091,0
1.0,1
0.9995,1
1.0,1
1.0,1
0.0089,0
0.0089,0
0.0133,0
1.0,1
0.9999,1
0.9997,1
1.0,1
1.0,1
1.0,1
0.9999,1
1.0,1
0.0112,0
0.9995,1
1.0,1
0.9999,1
1.0,1
0.0129,0
1.0,1
0.0117,0
1.0,1
1.0,1
1.0,1
0.0086,0
1.0,1
0.9993,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0102,0
0.009,0
1.0,1
1.0,1
1.0,1
0.0122,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0116,0
1.0,1
0.9999,1
0.9999,1
0.9999,1
0.009,0
1.0,1
1.0,1
1.0,1
0.0113,0
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0122,0
0.0089,0
0.9999,1
1.0,1
1.0,1
0.9997,1
1.0,1
1.0,1
0.9999,1
1.0,1
0.9997,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
0.0119,0
1.0,1
1.0,1
0.9999,1
0.0089,0
0.9996,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
0.0089,0
1.0,1
0.0091,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0118,0
1.0,1
0.9995,1
1.0,1
0.0123,0
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
0.9995,1
0.009,0
0.0091,0
1.0,1
1.0,1
1.0,1
0.009,0
0.0089,0
1.0,1
1.0,1
0.0122,0
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9997,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.009,0
0.9999,1
1.0,1
1.0,1
1.0,1
0.0091,0
0.9999,1
1.0,1
1.0,1
1.0,1
0.009,0
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0109,0
1.0,1
1.0,1
0.0115,0
1.0,1
1.0,1
0.009,0
1.0,1
1.0,1
1.0,1
0.9999,1
1.0,1
0.0089,0
1.0,1
1.0,1
0.9993,1
1.0,1
0.009,0
1.0,1
1.0,1
0.009,0
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
0.0089,0
0.9997,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9994,1
1.0,1
1.0,1
0.0089,0
1.0,1
0.9999,1
1.0,1
1.0,1
0.9999,1
0.0089,0
1.0,1
0.0089,0
1.0,1
1.0,1
0.0106,0
1.0,1
1.0,1
1.0,1
0.9996,1
1.0,1
1.0,1
1.0,1
1.0,1
0.009,0
0.009,0
0.9994,1
1.0,1
0.9999,1
0.9999,1
0.0089,0
0.9994,1
0.9999,1
1.0,1
1.0,1
1.0,1
0.0089,0
0.0129,0
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
0.0091,0
0.012,0
0.9998,1
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9998,1
1.0,1
1.0,1
0.9998,1
1.0,1
1.0,1
0.9999,1
1.0,1
0.9997,1
1.0,1
1.0,1
0.0123,0
1.0,1
1.0,1
1.0,1
0.9997,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9996,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9994,1
1.0,1
0.9995,1
1.0,1
0.0086,0
1.0,1
1.0,1
1.0,1
1.0,1
0.009,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999,1
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.009,0
1.0,1
0.0089,0
1.0,1
0.9999,1
0.0091,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
0.0089,0
0.009,0
1.0,1
0.0085,0
1.0,1
1.0,1
1.0,1
1.0,1
0.0118,0
0.0091,0
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999,1
0.009,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999,1
0.0089,0
0.9996,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9995,1
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
0.009,0
0.9997,1
1.0,1
1.0,1
1.0,1
1.0,1
0.009,0
1.0,1
1.0,1
0.009,0
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0118,0
1.0,1
1.0,1
0.0105,0
0.0085,0
0.0091,0
1.0,1
1.0,1
0.0091,0
1.0,1
0.9994,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0091,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9997,1
0.9995,1
1.0,1
0.0089,0
1.0,1
0.009,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999,1
0.0119,0
0.9998,1
1.0,1
0.0091,0
1.0,1
1.0,1
0.01,0
0.0089,0
1.0,1
0.0091,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0122,0
1.0,1
1.0,1
1.0,1
0.009,0
1.0,1
1.0,1
0.9996,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
0.9995,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
0.009,0
1.0,1
1.0,1
1.0,1
1.0,1
0.012,0
0.0087,0
1.0,1
0.0089,0
1.0,1
0.9999,1
1.0,1
1.0,1
0.0089,0
0.9999,1
1.0,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
0.0091,0
1.0,1
0.009,0
0.9998,1
1.0,1
0.9999,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
0.0125,0
1.0,1
1.0,1
0.9997,1
1.0,1
1.0,1
0.0128,0
1.0,1
0.009,0
1.0,1
1.0,1
1.0,1
0.9995,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9997,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
0.9999,1
1.0,1
0.9999,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
0.9997,1
1.0,1
1.0,1
0.9994,1
1.0,1
0.0091,0
0.009,0
0.9994,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
0.0089,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9997,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0091,0
0.0089,0
0.0091,0
0.0089,0
1.0,1
1.0,1
0.0117,0
0.0089,0
0.9999,1
1.0,1
0.0114,0
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0091,0
0.0111,0
1.0,1
1.0,1
0.9999,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.9999,1
0.009,0
1.0,1
1.0,1
1.0,1
0.9993,1
0.9999,1
0.0089,0
1.0,1
0.9996,1
1.0,1
0.0106,0
0.0089,0
0.0089,0
0.9998,1
0.009,0
0.0089,0
0.9999,1
0.9997,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.0091,0
1.0,1
1.0,1
0.0089,0
1.0,1
0.9969,1
0.9845,1
0.0004,0
0.9845,1
0.9952,1
0.9976,1
0.0001,0
0.9963,1
0.0001,0
0.9999,1
0.9994,1
0.0005,0
0.9992,1
0.0004,0
