score,class
0.6853,0
0.7714,1
1.0,1
0.6822,0
0.7712,1
0.7714,1
0.7711,1
1.0,1
0.6823,0
1.0,1
0.6845,0
1.0,1
1.0,1
0.7714,1
0.9999,1
0.7713,1
0.7715,0
0.7793,1
0.9995,1
0.7713,0
0.7713,1
0.7713,1
0.7714,1
1.0,1
0.9999,1
0.8025,1
0.7714,1
0.7713,1
1.0,1
1.0,1
0.7709,1
0.7711,1
0.7714,1
1.0,1
1.0,1
0.7713,1
0.6835,0
0.7713,1
0.7712,1
0.6842,0
1.0,1
0.6573,0
1.0,1
1.0,1
0.7713,1
0.786,1
0.7712,1
0.7714,1
1.0,1
0.7713,0
0.7711,1
0.7714,1
0.7712,1
1.0,1
1.0,1
0.7715,0
0.7781,1
0.7712,1
0.7712,1
0.7714,1
0.7711,1
0.9998,1
0.7713,0
1.0,1
0.7714,1
1.0,1
0.7714,1
0.7712,1
1.0,1
0.7712,1
0.7714,1
0.7712,1
0.7713,0
0.7713,1
1.0,1
0.7713,0
0.7714,1
0.7714,1
0.7712,1
1.0,1
0.7712,1
0.7711,1
1.0,1
0.7713,0
1.0,1
1.0,1
0.7713,1
0.7712,1
1.0,1
0.6671,0
0.7798,1
1.0,1
0.7714,1
1.0,1
1.0,1
1.0,1
1.0,1
0.7712,1
0.7713,0
0.7711,1
1.0,1
0.7713,0
0.9998,1
0.7712,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
1.0,1
0.7712,1
0.7712,1
0.7715,0
1.0,1
1.0,1
1.0,1
0.7714,1
1.0,1
0.7714,1
0.7712,1
0.7714,1
1.0,1
1.0,1
1.0,1
0.7712,1
1.0,1
0.9997,1
0.7793,1
0.7713,0
1.0,1
0.7712,1
0.7714,1
0.7715,0
1.0,1
0.7713,0
0.7712,1
0.7713,0
0.7712,1
0.7824,1
1.0,1
0.7715,0
0.7714,1
0.7713,0
0.7713,0
0.7714,1
0.778,1
0.7712,1
0.7707,1
0.6749,0
0.7711,1
0.7712,1
0.7837,1
0.7712,1
1.0,1
1.0,1
0.7714,1
0.7715,0
0.7712,1
0.6766,0
1.0,1
0.7714,1
1.0,1
1.0,1
1.0,1
0.7714,1
0.7711,1
0.7712,1
1.0,1
0.7713,1
0.9999,1
1.0,1
0.7714,1
0.7713,1
1.0,1
0.7712,1
0.7711,1
1.0,1
0.7714,1
1.0,1
1.0,1
0.7713,0
0.7714,1
0.7712,1
0.6718,0
0.7713,1
0.7713,1
0.7715,0
1.0,1
1.0,1
0.7714,0
1.0,1
1.0,1
0.7713,0
0.7713,1
0.9998,1
1.0,1
0.7713,1
0.7714,1
0.6893,0
0.7712,1
1.0,1
1.0,1
1.0,1
0.6814,0
0.7713,0
0.7713,0
0.7714,1
0.7712,1
1.0,1
0.7714,1
0.6718,0
0.9998,1
0.7714,0
1.0,1
1.0,1
0.7713,0
0.7712,1
0.7714,1
0.7713,1
0.7712,1
1.0,1
0.7713,0
0.7714,1
0.7712,1
1.0,1
1.0,1
0.7714,1
0.7712,1
0.7713,0
1.0,1
0.7713,1
0.7713,1
0.7712,1
0.7712,1
0.785,1
1.0,1
0.7712,1
