score,class
0.8637,1
0.8696,1
0.8565,1
0.8722,1
0.8718,1
0.8428,1
0.8677,1
0.8648,1
0.8608,1
0.8499,1
0.8674,1
0.8604,1
0.8515,1
0.8349,1
0.8608,1
0.8676,1
0.8426,1
0.8515,1
0.8426,1
0.8351,1
0.8563,1
0.8671,1
0.8721,1
0.8863,1
0.8653,1
0.8491,1
0.856,1
0.8544,1
0.8642,1
0.8865,1
0.8648,1
0.8605,1
0.8695,0
0.8605,1
0.8433,0
0.8459,1
0.8351,1
0.8695,0
0.85,1
0.8559,1
0.8642,1
0.8601,1
0.8458,1
0.8698,0
0.8644,1
0.8383,0
0.8387,0
0.8687,1
0.8672,1
0.8411,0
0.8593,1
0.8639,1
0.8848,1
0.8604,1
0.8418,0
0.8649,1
0.8393,0
0.8644,1
0.8645,1
0.8554,1
0.8607,1
0.8431,0
0.8413,0
0.8654,1
0.8386,0
0.86,1
0.8458,1
0.8582,1
0.8461,1
0.849,1
0.8679,1
0.8389,0
0.8415,0
0.8676,1
0.8716,1
0.8608,1
0.8564,1
0.8662,1
0.8542,1
0.85,1
0.8696,0
0.8652,1
0.8388,0
0.8385,0
0.8716,1
0.8352,1
0.8703,1
0.8409,0
0.8723,1
0.853,1
0.8645,1
0.8517,1
0.8426,1
0.8715,1
0.8415,0
0.8722,1
0.8428,1
0.8427,1
0.8537,1
0.8597,1
0.8695,0
0.8435,0
0.8696,0
0.8459,1
0.869,1
0.8535,1
0.8699,1
0.8497,1
0.8459,1
0.8606,1
0.8717,1
0.8408,0
0.8723,1
0.8597,1
0.8644,1
0.8393,0
0.8482,0
0.8593,1
0.8459,1
0.8511,1
0.8425,1
0.8427,1
0.8565,1
0.8721,1
0.8701,1
0.8588,1
0.8703,1
0.8386,0
0.8559,1
0.852,1
0.8593,1
0.8427,1
0.8606,1
0.8394,0
0.8651,1
0.8428,1
0.8819,1
0.8598,1
0.8645,1
0.8458,1
0.8356,1
0.8697,1
0.8458,1
0.8432,0
0.8524,1
0.8459,1
0.8484,0
0.8601,1
0.8391,0
0.8499,1
0.8607,1
0.8521,1
0.8484,0
0.8561,1
0.8514,1
0.8716,1
0.8497,1
0.8666,1
0.8562,1
0.865,1
0.8351,1
0.8347,1
0.8606,1
0.8411,0
0.8494,1
0.8496,1
0.846,1
0.8561,1
0.8712,1
0.8458,1
0.8426,1
0.8589,1
0.8594,1
0.8863,1
0.8562,1
0.8599,1
0.8476,0
0.8685,1
0.8597,1
0.843,0
0.8646,1
0.8716,1
0.8459,1
0.8646,1
0.8459,1
0.8353,1
0.8384,0
0.8459,1
0.8531,1
0.8566,1
